zs,zr,mode_id,method,k_true,g_real,g_imag,abs_g
4.0,18.0,1,ORACLE_MODE_ID,1.486930251121521,-0.22502146163106476,-0.07957346912367372,0.23867675878257816
4.0,18.0,2,ORACLE_MODE_ID,1.4840487241744995,-0.10765703247808524,0.2546240016262052,0.2764478591816714
4.0,18.0,3,ORACLE_MODE_ID,1.479351282119751,-0.2624551646912334,-0.016878046708093217,0.26299730404280386
4.0,18.0,4,ORACLE_MODE_ID,1.4730875492095947,-0.30179464584537297,-0.011758903582600483,0.3020236415819116
4.0,18.0,5,ORACLE_MODE_ID,1.465836763381958,-0.07832727440667364,-0.47932761848101035,0.4856852146757768
4.0,18.0,6,ORACLE_MODE_ID,1.4583847522735596,0.25245743937255594,-0.6215274135641077,0.6708435618728387
4.0,18.0,7,ORACLE_MODE_ID,1.4506748914718628,0.28228730997200147,-0.46072321269985583,0.5403258314125888
4.0,18.0,8,ORACLE_MODE_ID,1.44283926486969,4.925211684046582,0.5800879256187161,4.959255199535268
4.0,18.0,9,ORACLE_MODE_ID,1.4351578950881958,14.527730801285799,0.5770765098958615,14.539187719157548
4.0,18.0,10,ORACLE_MODE_ID,1.4275851249694824,8.288068020237441,0.6588343594973805,8.314212784222983
4.0,18.0,11,ORACLE_MODE_ID,1.4195870161056519,-23.080725791192144,0.2676828655527661,23.08227798907016
4.0,18.0,12,ORACLE_MODE_ID,1.4104909896850586,-27.29646090069141,0.19541148333419045,27.297160353245424
4.0,18.0,13,ORACLE_MODE_ID,1.4000681638717651,-9.26736699997567,-0.3142310112125841,9.272692825746237
4.0,18.0,14,ORACLE_MODE_ID,1.3885791301727295,7.395642439745217,-0.011554735190982601,7.395651466129668
4.0,18.0,15,ORACLE_MODE_ID,1.375969648361206,12.194315054607138,-0.23968952913111696,12.196670476871684
4.0,18.0,16,ORACLE_MODE_ID,1.3623950481414795,7.6464321353648925,-0.5151004341719565,7.663762317427717
4.0,18.0,17,ORACLE_MODE_ID,1.3477357625961304,1.754169638494189,0.4777696788507553,1.8180690269194917
4.0,18.0,18,ORACLE_MODE_ID,1.3320367336273193,-0.4363809080479561,-0.1499250665982031,0.4614171892151769
4.0,18.0,19,ORACLE_MODE_ID,1.315035343170166,0.2250584115820588,0.10808859546202326,0.24966864659542715
4.0,18.0,20,ORACLE_MODE_ID,1.2967256307601929,-0.17371409254337444,0.06336592450103026,0.18491031971211971
4.0,18.0,21,ORACLE_MODE_ID,1.277047872543335,-0.0009546126938812932,-0.20386996331692436,0.20387219827195516
4.0,18.0,22,ORACLE_MODE_ID,1.2560290098190308,0.15604468031317908,0.024130511317379325,0.1578994104817381
4.0,18.0,23,ORACLE_MODE_ID,1.2335797548294067,0.08625545992226369,0.07734212770318599,0.11585253162558498
4.0,18.0,-1,AUTOMATIC_PEAK_ID,1.1839732408832135,-0.11585190059661607,-0.032110740609315125,0.1202196428805498
4.0,18.0,-1,AUTOMATIC_PEAK_ID,1.1852323962553954,-0.11564051601101662,-0.03523288465773132,0.12088873026299513
4.0,18.0,-1,AUTOMATIC_PEAK_ID,1.1864915516275774,-0.11535218888659235,-0.03836747815121522,0.12156558254955246
4.0,18.0,-1,AUTOMATIC_PEAK_ID,1.1877507069997593,-0.11498621165504593,-0.04151285226454317,0.12225034058814235
4.0,18.0,-1,AUTOMATIC_PEAK_ID,1.1890098623719412,-0.11454190790024504,-0.044667316269288965,0.12294314868315723
4.0,18.0,-1,AUTOMATIC_PEAK_ID,1.190269017744123,-0.11401863282470381,-0.0478291581054496,0.12364415471946388
4.0,18.0,-1,AUTOMATIC_PEAK_ID,1.191528173116305,-0.11341577367717617,-0.05099664495679591,0.12435351026666656
4.0,18.0,-1,AUTOMATIC_PEAK_ID,1.192787328488487,-0.11273275017411434,-0.054168023834595944,0.1250713706967531
4.0,18.0,-1,AUTOMATIC_PEAK_ID,1.1940464838606688,-0.11196901490946688,-0.057341522167525236,0.1257978953094415
4.0,18.0,-1,AUTOMATIC_PEAK_ID,1.1953056392328507,-0.11112405373899478,-0.06051534839928707,0.12653324745407468
4.0,18.0,-1,AUTOMATIC_PEAK_ID,1.1965647946050326,-0.11019738615606683,-0.06368769259204893,0.12727759466350955
4.0,18.0,-1,AUTOMATIC_PEAK_ID,1.1978239499772145,-0.10918856564983959,-0.06685672702897436,0.12803110878882568
4.0,18.0,-1,AUTOMATIC_PEAK_ID,1.1990831053493964,-0.10809718004154056,-0.07002060683611555,0.12879396614217264
