mode_id,Re_k_m,Im_k_m,alpha_m_tentative,phi_m_4,phi_m_18,phi_m_50,phi_m_70,alpha_m
1,1.4869303,-5.1303186e-06,5.1303186e-06,(1.460780708839593e-06+0j),(0.0003142122004646808+0j),(0.15122318267822266+0j),(0.1652570217847824+0j),5.130318641022313e-06
2,1.4840487,-1.9571577e-05,1.9571577e-05,(4.6227842176449485e-06+0j),(0.000852175522595644+0j),(0.17128577828407288+0j),(-0.14779716730117798+0j),1.9571576558519155e-05
3,1.4793513,-4.0490282e-05,4.0490282e-05,(1.5148876627790742e-05+0j),(0.0021524596959352493+0j),(0.03225500136613846+0j),(-0.024459095671772957+0j),4.049028211738914e-05
4,1.4730875,-6.2775856e-05,6.2775856e-05,(6.128408858785406e-05+0j),(0.006034792400896549+0j),(-0.14157594740390778+0j),(0.1608780175447464+0j),6.277585634961724e-05
5,1.4658368,-7.8433884e-05,7.8433884e-05,(0.0002980755816679448+0j),(0.018555929884314537+0j),(-0.130143404006958+0j),(-0.14358863234519958+0j),7.84338844823651e-05
6,1.4583848,-8.693438e-05,8.693438e-05,(0.001369177014566958+0j),(0.050604019314050674+0j),(0.09208723902702332+0j),(0.03912881389260292+0j),8.693437848705798e-05
7,1.4506749,-9.895706e-05,9.895706e-05,(0.005364691372960806+0j),(0.10713005810976028+0j),(0.10587998479604721+0j),(0.06614266335964203+0j),9.895706170937046e-05
8,1.4428393,-0.00010200184,0.00010200184,(0.018900491297245026+0j),(0.17760348320007324+0j),(-0.1203775480389595+0j),(-0.12499737739562988+0j),0.00010200183896813542
9,1.4351579,-0.000107794214,0.000107794214,(0.051886774599552155+0j),(0.1803949475288391+0j),(-0.01654599979519844+0j),(0.13287705183029175+0j),0.00010779421427287161
10,1.4275851,-0.00011048923,0.00011048923,(0.10548009723424911+0j),(0.04910321906208992+0j),(0.11860263347625732+0j),(-0.10133213549852371+0j),0.00011048922897316515
11,1.419587,-0.000131247,0.000131247,(0.14651545882225037+0j),(-0.12003152072429657+0j),(-0.10343512147665024+0j),(0.05038326233625412+0j),0.00013124699762556702
12,1.410491,-0.00015819492,0.00015819492,(0.16378556191921234+0j),(-0.15766964852809906+0j),(-0.02842162549495697+0j),(0.021930528804659843+0j),0.0001581949181854725
13,1.4000682,-0.00019080735,0.00019080735,(0.16815036535263062+0j),(-0.06509407609701157+0j),(0.13754819333553314+0j),(-0.09568515419960022+0j),0.0001908073463710025
14,1.3885791,-0.00022713639,0.00022713639,(0.16902704536914825+0j),(0.06389527022838593+0j),(-0.06867094337940216+0j),(0.13824816048145294+0j),0.0002271363919135183
15,1.3759696,-0.00027562265,0.00027562265,(0.16631507873535156+0j),(0.1481790691614151+0j),(-0.09759479761123657+0j),(-0.12958469986915588+0j),0.00027562264585867524
16,1.362395,-0.0003453093,0.0003453093,(0.16049836575984955+0j),(0.14600463211536407+0j),(0.12805607914924622+0j),(0.06921426951885223+0j),0.00034530929406173527
17,1.3477358,-0.0004680486,0.0004680486,(0.1503734588623047+0j),(0.06548840552568436+0j),(0.026968976482748985+0j),(0.020947948098182678+0j),0.00046804858720861375
18,1.3320367,-0.00070998666,0.00070998666,(0.13728192448616028+0j),(-0.046178411692380905+0j),(-0.1439729630947113+0j),(-0.10373317450284958+0j),0.0007099866634234786
19,1.3150353,-0.00109388,0.00109388,(0.12080630660057068+0j),(-0.13340093195438385+0j),(0.04870780184864998+0j),(0.14465603232383728+0j),0.0010938800405710936
20,1.2967256,-0.0014841137,0.0014841137,(0.10163841396570206+0j),(-0.15362025797367096+0j),(0.11988219618797302+0j),(-0.1283463090658188+0j),0.0014841137453913689
21,1.2770479,-0.0018564272,0.0018564272,(0.07998836040496826+0j),(-0.0983201265335083+0j),(-0.11353770643472672+0j),(0.06317786127328873+0j),0.0018564271740615368
22,1.256029,-0.002201869,0.002201869,(0.05714283511042595+0j),(0.002984924241900444+0j),(-0.060719747096300125+0j),(0.026290109381079674+0j),0.0022018689196556807
23,1.2335798,-0.0025485295,0.0025485295,(0.03323039785027504+0j),(0.10180972516536713+0j),(0.14600268006324768+0j),(-0.10642331093549728+0j),0.0025485295336693525
