test,dr,zs,zr,mode_id,k_m,g1_real,g1_imag,g5_real,g5_imag,relative_complex_error,amplitude_error,phase_error
SINGLE_MODE,2.5,4.0,18.0,1,1.4869303,1.4822048044677198e-06,-6.600504241479135e-19,1.4822048105984492e-06,0.0,4.136222865067047e-09,4.1362228410950695e-09,-4.4531661357348437e-13
SINGLE_MODE,2.5,4.0,18.0,2,1.4840487,1.1441064358260587e-05,-5.038999003215833e-18,1.1441064570776119e-05,0.0,1.8574803983261636e-08,1.8574803978040062e-08,-4.404309638882168e-13
SINGLE_MODE,2.5,4.0,18.0,3,1.4793513,8.130362645885394e-05,-3.5175584233576584e-17,8.130362935838013e-05,0.0,3.5662936694674027e-08,3.5662936692049713e-08,-4.3264471421060426e-13
SINGLE_MODE,2.5,4.0,18.0,4,1.4730875,0.0007853186056786794,-3.317116546719401e-16,0.0007853186041769867,0.0,1.912208354045256e-09,1.9122083073938766e-09,-4.223911827292973e-13
SINGLE_MODE,2.5,4.0,18.0,5,1.4658368,0.010518325586398553,-4.34114549863196e-15,0.010518325678141406,0.0,8.722191706926139e-09,8.722191697161419e-09,-4.1272210704768235e-13
SINGLE_MODE,2.5,4.0,18.0,6,1.4583848,0.12442878235246921,-5.034167527284694e-14,0.12442878244182153,0.0,7.181001826088347e-10,7.181000686367148e-10,-4.045822382979218e-13
SINGLE_MODE,2.5,4.0,18.0,7,1.4506749,0.9502792589625494,-3.7536640462576543e-13,0.9502792675328608,0.0,9.01872929521052e-09,9.018729286560184e-09,-3.9500641636182305e-13
SINGLE_MODE,2.5,4.0,18.0,8,1.4428393,5.457859475540275,-2.1151969065158482e-12,5.457859488977001,0.0,2.46190408379345e-09,2.4619040532895207e-09,-3.8755063518861747e-13
SINGLE_MODE,2.5,4.0,18.0,9,1.4351579,14.667719709890534,-5.555556015224283e-12,14.667719891003546,0.0,1.234772780079935e-08,1.2347727794990197e-08,-3.787607157149409e-13
SINGLE_MODE,2.5,4.0,18.0,10,1.4275851,8.00091062204616,-2.970956813896919e-12,8.000910416216604,0.0,2.572576686649405e-08,2.572576686381417e-08,-3.7132733437998633e-13
SINGLE_MODE,2.5,4.0,18.0,11,1.419587,-23.49998084736317,8.396838779844984e-12,-23.499980859985243,0.0,5.371100904642402e-10,5.371099716130998e-10,-3.573125797158748e-13
SINGLE_MODE,2.5,4.0,18.0,12,1.410491,-28.59925519415891,9.730882766234572e-12,-28.599253879470282,0.0,4.596933310782148e-08,4.5969333106562273e-08,-3.4024951699518385e-13
