delta_m,mode_id,abs_g0,abs_g_delta,abs_ratio,phase_pred_k_delta,phase_meas,phase_err
0.0,1,0.08358434588489666,0.08358434588489666,1.0,0.0,0.0,0.0
0.0,2,0.09821329970371835,0.09821329970371835,1.0,0.0,0.0,0.0
0.0,3,0.09238707513840899,0.09238707513840899,1.0,0.0,0.0,0.0
0.0,4,0.1254590204313483,0.1254590204313483,1.0,0.0,0.0,0.0
0.0,5,0.12033307000854648,0.12033307000854648,1.0,0.0,0.0,0.0
0.0,6,0.2265081532200144,0.2265081532200144,1.0,0.0,0.0,0.0
0.0,7,0.7878120410335072,0.7878120410335072,1.0,0.0,0.0,0.0
0.0,8,3.750016155912805,3.750016155912805,1.0,0.0,0.0,0.0
0.0,-1,3440.1479687858828,3440.1479687858828,1.0,,0.0,
50.0,1,0.08358434588489666,0.08358434747055042,1.0000000189707026,5.231471538543701,-1.0517118446776819,6.570418069096826e-10
50.0,2,0.09821329970371835,0.09821330084975295,1.000000011668833,5.087398052215576,-1.1957853352041783,-3.541327845021306e-09
50.0,3,0.09238707513840899,0.09238707772867133,1.000000028037064,4.852527141571045,-1.4306562423972635,-8.988071692133472e-11
50.0,4,0.1254590204313483,0.1254590173049106,0.9999999750800087,4.539340496063232,-1.7438428877803276,3.486216576870847e-11
50.0,5,0.12033307000854648,0.12033307307999687,1.0000000255245742,4.176799297332764,-2.1063840817045083,4.841157971561324e-09
50.0,6,0.2265081532200144,0.22650816058657466,1.0000000325222742,3.804194927215576,-2.4789884538986153,2.764241554934551e-09
50.0,7,0.7878120410335072,0.7878120201869994,0.999999973538729,3.4187045097351074,-2.8644788801758545,-6.032533309160363e-09
50.0,8,3.750016155912805,3.7500162554640704,1.0000000265468898,3.0269198417663574,3.0269217692737156,4.206195421674666e-09
50.0,-1,3440.1479687858828,2447.6810671922553,0.7115045891633857,,0.9666474893546061,
100.0,1,0.08358434588489666,0.083584346289828,1.0000000048445834,4.179757595062256,-2.1034236774149178,1.3254526914592406e-08
100.0,2,0.09821329970371835,0.09821330230811752,1.000000026517785,3.891610622406006,-2.3915706598485476,3.4771462317296927e-09
100.0,3,0.09238707513840899,0.09238707470295135,0.9999999952865957,3.4218688011169434,-2.8613124910102665,-6.3955040211437346e-09
100.0,4,0.1254590204313483,0.1254590175451456,0.9999999769948571,2.7954955101013184,2.795499536336381,4.787194945003302e-09
100.0,5,0.12033307000854648,0.1203330682627686,0.9999999854921188,2.070413112640381,2.0704171259809625,-8.10730829792954e-09
100.0,6,0.2265081532200144,0.2265081521309647,0.9999999951920066,1.3252043724060059,1.3252083905243626,-3.329533677550335e-09
100.0,7,0.7878120410335072,0.7878120524961599,1.000000014549984,0.5542235374450684,0.5542275694070296,1.0514084130101418e-08
100.0,8,3.750016155912805,3.7500160539978475,0.9999999728227951,6.053839683532715,-0.22934178431206756,-7.267503627679962e-09
100.0,-1,3440.1479687858828,1648.7188460496004,0.47925811942079805,,1.1128497993761324,
500.0,1,0.08358434588489666,0.08358434512125594,0.9999999908638308,2.049262046813965,2.049282680332436,1.7424075874406624e-09
500.0,2,0.09821329970371835,0.09821329981599242,1.0000000011431656,0.6084661483764648,0.60848676394437,-1.62081756546139e-08
500.0,3,0.09238707513840899,0.09238707405045538,0.999999988223963,4.542957782745361,-1.740207072424883,-4.92123271877414e-09
500.0,4,0.1254590204313483,0.12545901814893934,0.999999981807534,1.4110608100891113,1.4110812588352177,-8.184407583109117e-09
500.0,5,0.12033307000854648,0.12033307288691907,1.0000000239200462,4.068880081176758,-2.214284930534006,1.3383918208922711e-08
500.0,6,0.2265081532200144,0.22650815266409116,0.999999997545681,0.3428668975830078,0.34288717834330595,-1.3246790430359601e-09
500.0,7,0.7878120410335072,0.7878120560987654,1.0000000191229093,2.7711329460144043,2.7711530472709933,-5.9827914062151665e-09
500.0,8,3.750016155912805,3.7500162279987723,1.0000000192228418,5.136471748352051,-1.146693640576693,-1.4143005244197322e-08
500.0,-1,3440.1479687858828,1154.7110083789107,0.33565736673426816,,0.7517831877188437,
