zs,zr,route,smooth_m,k_r,abs_g
4.0,18.0,THEORY_CONTROL,,1.1835797548294067,0.09792828409593078
4.0,18.0,THEORY_CONTROL,,1.1837371492509294,0.11086146677749764
4.0,18.0,THEORY_CONTROL,,1.1838945436724522,0.11911987498844769
4.0,18.0,THEORY_CONTROL,,1.184051938093975,0.1190815181483187
4.0,18.0,THEORY_CONTROL,,1.1842093325154976,0.11077874581972294
4.0,18.0,THEORY_CONTROL,,1.1843667269370204,0.09791508686412226
4.0,18.0,THEORY_CONTROL,,1.1845241213585431,0.08779687716797284
4.0,18.0,THEORY_CONTROL,,1.1846815157800659,0.08802351802058
4.0,18.0,THEORY_CONTROL,,1.1848389102015886,0.09847729161422338
4.0,18.0,THEORY_CONTROL,,1.1849963046231113,0.11148004421514243
4.0,18.0,THEORY_CONTROL,,1.185153699044634,0.11978299531203383
4.0,18.0,THEORY_CONTROL,,1.1853110934661568,0.11974451931718698
4.0,18.0,THEORY_CONTROL,,1.1854684878876796,0.11139721912953447
4.0,18.0,THEORY_CONTROL,,1.1856258823092023,0.0984649387525487
4.0,18.0,THEORY_CONTROL,,1.185783276730725,0.0882934842898133
4.0,18.0,THEORY_CONTROL,,1.1859406711522478,0.08852230934788916
4.0,18.0,THEORY_CONTROL,,1.1860980655737705,0.09903271398027813
4.0,18.0,THEORY_CONTROL,,1.1862554599952932,0.11210581865991232
4.0,18.0,THEORY_CONTROL,,1.186412854416816,0.1204538135667592
4.0,18.0,THEORY_CONTROL,,1.1865702488383387,0.12041521677292029
4.0,18.0,THEORY_CONTROL,,1.1867276432598615,0.11202288901961349
4.0,18.0,THEORY_CONTROL,,1.1868850376813842,0.09902122280172064
4.0,18.0,THEORY_CONTROL,,1.187042432102907,0.08879594049052064
4.0,18.0,THEORY_CONTROL,,1.1871998265244297,0.0890269886809887
4.0,18.0,THEORY_CONTROL,,1.1873572209459524,0.09959466815343532
4.0,18.0,THEORY_CONTROL,,1.1875146153674752,0.11273892093445875
4.0,18.0,THEORY_CONTROL,,1.187672009788998,0.12113246942608762
4.0,18.0,THEORY_CONTROL,,1.1878294042105206,0.1210937501277874
4.0,18.0,THEORY_CONTROL,,1.1879867986320434,0.1126558862496484
4.0,18.0,THEORY_CONTROL,,1.1881441930535661,0.09958405634748796
4.0,18.0,THEORY_CONTROL,,1.1883015874750888,0.08930435305268579
4.0,18.0,THEORY_CONTROL,,1.1884589818966116,0.08953766428611172
4.0,18.0,THEORY_CONTROL,,1.1886163763181343,0.10016327398132185
4.0,18.0,THEORY_CONTROL,,1.188773770739657,0.11337948508287296
4.0,18.0,THEORY_CONTROL,,1.1889311651611798,0.12181910600221396
4.0,18.0,THEORY_CONTROL,,1.1890885595827025,0.12178026242891801
4.0,18.0,THEORY_CONTROL,,1.1892459540042253,0.11329634479864195
4.0,18.0,THEORY_CONTROL,,1.189403348425748,0.10015355961922734
4.0,18.0,THEORY_CONTROL,,1.1895607428472708,0.08981883191963444
4.0,18.0,THEORY_CONTROL,,1.1897181372687935,0.0900544471285505
4.0,18.0,THEORY_CONTROL,,1.1898755316903162,0.10073865429481879
4.0,18.0,THEORY_CONTROL,,1.190032926111839,0.11402764847774188
4.0,18.0,THEORY_CONTROL,,1.1901903205333617,0.12251386994937415
4.0,18.0,THEORY_CONTROL,,1.1903477149548845,0.12247490026566636
4.0,18.0,THEORY_CONTROL,,1.1905051093764072,0.11394440196677023
4.0,18.0,THEORY_CONTROL,,1.19066250379793,0.10072985583781384
4.0,18.0,THEORY_CONTROL,,1.1908198982194527,0.0903394897842724
4.0,18.0,THEORY_CONTROL,,1.1909772926409754,0.09057745094980235
4.0,18.0,THEORY_CONTROL,,1.1911346870624981,0.10132093499487438
4.0,18.0,THEORY_CONTROL,,1.1912920814840209,0.11468355192194038
4.0,18.0,THEORY_CONTROL,,1.1914494759055436,0.12321691158392328
4.0,18.0,THEORY_CONTROL,,1.1916068703270664,0.12317781388147557
4.0,18.0,THEORY_CONTROL,,1.191764264748589,0.11460019847988247
4.0,18.0,THEORY_CONTROL,,1.1919216591701118,0.10131307130612204
4.0,18.0,THEORY_CONTROL,,1.1920790535916346,0.09086644216879047
4.0,18.0,THEORY_CONTROL,,1.1922364480131573,0.09110679236321596
4.0,18.0,THEORY_CONTROL,,1.19239384243468,0.10191024515819058
4.0,18.0,THEORY_CONTROL,,1.1925512368562028,0.11534733975885801
4.0,18.0,THEORY_CONTROL,,1.1927086312777255,0.12392838499384969
4.0,18.0,THEORY_CONTROL,,1.1928660256992483,0.12388915729029358
4.0,18.0,THEORY_CONTROL,,1.193023420120771,0.11526387859842241
4.0,18.0,THEORY_CONTROL,,1.1931808145422937,0.10190333550964867
4.0,18.0,THEORY_CONTROL,,1.1933382089638165,0.09139980752003792
4.0,18.0,THEORY_CONTROL,,1.1934956033853392,0.09164259093656084
4.0,18.0,THEORY_CONTROL,,1.193652997806862,0.10250671713366469
4.0,18.0,THEORY_CONTROL,,1.1938103922283847,0.11601915998558783
4.0,18.0,THEORY_CONTROL,,1.1939677866499074,0.12464844815986545
4.0,18.0,THEORY_CONTROL,,1.1941251810714302,0.12460908839513847
