f_hz,set,dk_stat,dk,L_required_m
201.0,SET-A,min,9.644031524658203e-05,65151.02414498039
201.0,SET-A,p10,0.00012313127517700196,51028.345951485266
201.0,SET-A,p50,0.00022166967391967773,28344.812333040674
201.0,SET-A,p90,0.00031663775444030763,19843.449554162653
201.0,SET-B_0.05,min,9.644031524658203e-05,65151.02414498039
201.0,SET-B_0.05,p10,0.00012305974960327148,51058.004972671835
201.0,SET-B_0.05,p50,0.00023427605628967285,26819.57945975786
201.0,SET-B_0.05,p90,0.00032480955123901365,19344.213503611092
201.0,SET-B_0.10,min,9.644031524658203e-05,65151.02414498039
201.0,SET-B_0.10,p10,0.00012341737747192382,50910.05363980406
201.0,SET-B_0.10,p50,0.00023636221885681152,26582.86649012187
201.0,SET-B_0.10,p90,0.0003274738788604736,19186.828974095533
201.0,SET-B_0.20,min,9.799003601074219e-05,64120.65514998678
201.0,SET-B_0.20,p10,0.0001279592514038086,49103.01707964331
201.0,SET-B_0.20,p50,0.0002452731132507324,25617.097707552435
201.0,SET-B_0.20,p90,0.00033838748931884765,18568.018929503676
201.0,SET-C_0.05,min,9.644031524658203e-05,65151.02414498039
201.0,SET-C_0.05,p10,0.0001226365566253662,51234.19541510487
201.0,SET-C_0.05,p50,0.0002283155918121338,27519.738171669043
201.0,SET-C_0.05,p90,0.0003179609775543213,19760.869259832838
201.0,SET-C_0.10,min,9.644031524658203e-05,65151.02414498039
201.0,SET-C_0.10,p10,0.00012261867523193358,51241.666861062746
201.0,SET-C_0.10,p50,0.00022846460342407227,27501.78895553829
201.0,SET-C_0.10,p90,0.0003179788589477539,19759.75801652888
201.0,SET-C_0.20,min,9.644031524658203e-05,65151.02414498039
201.0,SET-C_0.20,p10,0.00012260079383850098,51249.14048644964
201.0,SET-C_0.20,p50,0.00022852420806884766,27494.615823312015
201.0,SET-C_0.20,p90,0.00031799674034118655,19758.646898198396
201.0,SET-D_trapped,min,9.644031524658203e-05,65151.02414498039
201.0,SET-D_trapped,p10,0.00012313127517700196,51028.345951485266
201.0,SET-D_trapped,p50,0.00022166967391967773,28344.812333040674
201.0,SET-D_trapped,p90,0.00031663775444030763,19843.449554162653
235.0,SET-A,min,9.66191291809082e-05,65030.44852965963
235.0,SET-A,p10,0.00012308955192565917,51045.642858253
235.0,SET-A,p50,0.00022110342979431152,28417.403172011935
235.0,SET-A,p90,0.0003169357776641846,19824.790225599132
235.0,SET-B_0.05,min,9.66191291809082e-05,65030.44852965963
235.0,SET-B_0.05,p10,0.00012283921241760254,51149.67104982205
235.0,SET-B_0.05,p50,0.00023353099822998047,26905.144733685112
235.0,SET-B_0.05,p90,0.0003252685070037842,19316.918705279044
235.0,SET-B_0.10,min,9.66191291809082e-05,65030.44852965963
235.0,SET-B_0.10,p10,0.0001232624053955078,50974.06047706879
235.0,SET-B_0.10,p50,0.00023728609085083008,26479.36625636229
235.0,SET-B_0.10,p90,0.00032829046249389655,19139.104010054514
235.0,SET-B_0.20,min,0.0001024007797241211,61358.764299521696
235.0,SET-B_0.20,p10,0.0001306772232055664,48081.7173264816
235.0,SET-B_0.20,p50,0.0002473592758178711,25401.049895561027
235.0,SET-B_0.20,p90,0.0003419756889343262,18373.1929212846
235.0,SET-C_0.05,min,9.66191291809082e-05,65030.44852965963
235.0,SET-C_0.05,p10,0.00012260675430297852,51246.6490357697
235.0,SET-C_0.05,p50,0.00022804737091064453,27552.10587208005
235.0,SET-C_0.05,p90,0.0003182470798492432,19743.104351989638
235.0,SET-C_0.10,min,9.66191291809082e-05,65030.44852965963
235.0,SET-C_0.10,p10,0.00012260675430297852,51246.6490357697
235.0,SET-C_0.10,p50,0.00022840499877929688,27508.96583157053
235.0,SET-C_0.10,p90,0.0003182530403137207,19742.734589387997
235.0,SET-C_0.20,min,9.66191291809082e-05,65030.44852965963
235.0,SET-C_0.20,p10,0.00012260675430297852,51246.6490357697
235.0,SET-C_0.20,p50,0.00022846460342407227,27501.78895553829
235.0,SET-C_0.20,p90,0.0003182649612426758,19741.995105734186
235.0,SET-D_trapped,min,9.66191291809082e-05,65030.44852965963
235.0,SET-D_trapped,p10,0.00012308955192565917,51045.642858253
235.0,SET-D_trapped,p50,0.00022110342979431152,28417.403172011935
235.0,SET-D_trapped,p90,0.0003169357776641846,19824.790225599132
283.0,SET-A,min,9.679794311523438e-05,64910.318390750166
283.0,SET-A,p10,0.00012290477752685547,51122.384610367735
283.0,SET-A,p50,0.00022101402282714844,28428.89888526922
283.0,SET-A,p90,0.0003170967102050781,19814.728771913207
283.0,SET-B_0.05,min,9.679794311523438e-05,64910.318390750166
283.0,SET-B_0.05,p10,0.00012254714965820312,51271.57444872484
283.0,SET-B_0.05,p50,0.00023257732391357422,27015.468238487512
283.0,SET-B_0.05,p90,0.0003247857093811035,19345.633522954355
283.0,SET-B_0.10,min,9.679794311523438e-05,64910.318390750166
283.0,SET-B_0.10,p10,0.00012254714965820312,51271.57444872484
283.0,SET-B_0.10,p50,0.00023651123046875,26566.118212343314
283.0,SET-B_0.10,p90,0.0003293156623840332,19079.52164100964
283.0,SET-B_0.20,min,9.679794311523438e-05,64910.318390750166
283.0,SET-B_0.20,p10,0.0001245737075805664,50437.49141941544
283.0,SET-B_0.20,p50,0.00024271011352539062,25887.61224621274
283.0,SET-B_0.20,p90,0.0003357529640197754,18713.715083717074
283.0,SET-C_0.05,min,9.679794311523438e-05,64910.318390750166
283.0,SET-C_0.05,p10,0.00012254714965820312,51271.57444872484
283.0,SET-C_0.05,p50,0.00022834539413452148,27516.14645434045
283.0,SET-C_0.05,p90,0.00031816959381103516,19747.91252652272
283.0,SET-C_0.10,min,9.679794311523438e-05,64910.318390750166
283.0,SET-C_0.10,p10,0.00012254714965820312,51271.57444872484
283.0,SET-C_0.10,p50,0.00022840499877929688,27508.96583157053
283.0,SET-C_0.10,p90,0.00031816959381103516,19747.91252652272
283.0,SET-C_0.20,min,9.679794311523438e-05,64910.318390750166
283.0,SET-C_0.20,p10,0.00012252330780029296,51281.55140425096
283.0,SET-C_0.20,p50,0.0002288818359375,27451.65548608809
283.0,SET-C_0.20,p90,0.00031816959381103516,19747.91252652272
283.0,SET-D_trapped,min,9.679794311523438e-05,64910.318390750166
283.0,SET-D_trapped,p10,0.00012290477752685547,51122.384610367735
283.0,SET-D_trapped,p50,0.00022101402282714844,28428.89888526922
283.0,SET-D_trapped,p90,0.0003170967102050781,19814.728771913207
338.0,SET-A,min,9.703636169433594e-05,64750.83357897928
338.0,SET-A,p10,0.0001227855682373047,51172.017993484595
338.0,SET-A,p50,0.00022113323211669922,28413.573333309505
338.0,SET-A,p90,0.00031726360321044923,19804.3054532536
338.0,SET-B_0.05,min,9.703636169433594e-05,64750.83357897928
338.0,SET-B_0.05,p10,0.00012336969375610353,50929.73092404013
338.0,SET-B_0.05,p50,0.00023436546325683594,26809.34818580322
338.0,SET-B_0.05,p90,0.000325930118560791,19277.70693584329
338.0,SET-B_0.10,min,9.703636169433594e-05,64750.83357897928
338.0,SET-B_0.10,p10,0.0001247882843017578,50350.76283271794
338.0,SET-B_0.10,p50,0.0002359151840209961,26633.238268463432
338.0,SET-B_0.10,p90,0.0003270626068115235,19210.955873046045
338.0,SET-B_0.20,min,0.0001081228256225586,58111.55295842242
338.0,SET-B_0.20,p10,0.0001310110092163086,47959.216135840885
338.0,SET-B_0.20,p50,0.0002453923225402832,25604.653161665843
338.0,SET-B_0.20,p90,0.00033826828002929686,18574.562494110916
338.0,SET-C_0.05,min,9.703636169433594e-05,64750.83357897928
338.0,SET-C_0.05,p10,0.00012242794036865234,51321.49808499429
338.0,SET-C_0.05,p50,0.00022834539413452148,27516.14645434045
338.0,SET-C_0.05,p90,0.00031827688217163087,19741.255677474488
338.0,SET-C_0.10,min,9.703636169433594e-05,64750.83357897928
338.0,SET-C_0.10,p10,0.00012242794036865234,51321.49808499429
338.0,SET-C_0.10,p50,0.00022858381271362305,27487.446431963042
338.0,SET-C_0.10,p90,0.00031834840774536133,19736.820270844088
338.0,SET-C_0.20,min,9.703636169433594e-05,64750.83357897928
338.0,SET-C_0.20,p10,0.00012242794036865234,51321.49808499429
338.0,SET-C_0.20,p50,0.00022876262664794922,27465.960673939102
338.0,SET-C_0.20,p90,0.0003183841705322266,19734.603314845415
338.0,SET-D_trapped,min,9.703636169433594e-05,64750.83357897928
338.0,SET-D_trapped,p10,0.0001227855682373047,51172.017993484595
338.0,SET-D_trapped,p50,0.00022113323211669922,28413.573333309505
338.0,SET-D_trapped,p90,0.00031726360321044923,19804.3054532536
