f_hz,set,threshold,n_modes,n_rayleigh_unique,dk_min,dk_p10,dk_p50,dk_p90
201.0,SET-B_RECEIVER_OBSERVABLE,0.05,555,,,,,
201.0,SET-C_SEARCH_BAND_SUPPORTED,0.05,607,,,,,
201.0,SET-B_RECEIVER_OBSERVABLE,0.1,505,,,,,
201.0,SET-C_SEARCH_BAND_SUPPORTED,0.1,606,,,,,
201.0,SET-B_RECEIVER_OBSERVABLE,0.2,390,,,,,
201.0,SET-C_SEARCH_BAND_SUPPORTED,0.2,605,,,,,
201.0,SET-D_REFRACTED_TRAPPED,,641,,,,,
201.0,SET-A_ALL_KRAKEN,,641,,,,,
201.0,SET-A_FOURIER,,641,0.0,9.644031524658203e-05,0.00012313127517700196,0.00022166967391967773,0.00031663775444030763
201.0,SET-B_0.05_FOURIER,,555,0.0,9.644031524658203e-05,0.00012305974960327148,0.00023427605628967285,0.00032480955123901365
201.0,SET-B_0.10_FOURIER,,505,0.0,9.644031524658203e-05,0.00012341737747192382,0.00023636221885681152,0.0003274738788604736
201.0,SET-B_0.20_FOURIER,,390,0.0,9.799003601074219e-05,0.0001279592514038086,0.0002452731132507324,0.00033838748931884765
201.0,SET-C_0.05_FOURIER,,607,0.0,9.644031524658203e-05,0.0001226365566253662,0.0002283155918121338,0.0003179609775543213
201.0,SET-C_0.10_FOURIER,,606,0.0,9.644031524658203e-05,0.00012261867523193358,0.00022846460342407227,0.0003179788589477539
201.0,SET-C_0.20_FOURIER,,605,0.0,9.644031524658203e-05,0.00012260079383850098,0.00022852420806884766,0.00031799674034118655
201.0,SET-D_trapped_FOURIER,,641,0.0,9.644031524658203e-05,0.00012313127517700196,0.00022166967391967773,0.00031663775444030763
235.0,SET-B_RECEIVER_OBSERVABLE,0.05,645,,,,,
235.0,SET-C_SEARCH_BAND_SUPPORTED,0.05,709,,,,,
235.0,SET-B_RECEIVER_OBSERVABLE,0.1,585,,,,,
235.0,SET-C_SEARCH_BAND_SUPPORTED,0.1,708,,,,,
235.0,SET-B_RECEIVER_OBSERVABLE,0.2,444,,,,,
235.0,SET-C_SEARCH_BAND_SUPPORTED,0.2,706,,,,,
235.0,SET-D_REFRACTED_TRAPPED,,749,,,,,
235.0,SET-A_ALL_KRAKEN,,749,,,,,
235.0,SET-A_FOURIER,,749,0.0,9.66191291809082e-05,0.00012308955192565917,0.00022110342979431152,0.0003169357776641846
235.0,SET-B_0.05_FOURIER,,645,0.0,9.66191291809082e-05,0.00012283921241760254,0.00023353099822998047,0.0003252685070037842
235.0,SET-B_0.10_FOURIER,,585,0.0,9.66191291809082e-05,0.0001232624053955078,0.00023728609085083008,0.00032829046249389655
235.0,SET-B_0.20_FOURIER,,444,0.0,0.0001024007797241211,0.0001306772232055664,0.0002473592758178711,0.0003419756889343262
235.0,SET-C_0.05_FOURIER,,709,0.0,9.66191291809082e-05,0.00012260675430297852,0.00022804737091064453,0.0003182470798492432
235.0,SET-C_0.10_FOURIER,,708,0.0,9.66191291809082e-05,0.00012260675430297852,0.00022840499877929688,0.0003182530403137207
235.0,SET-C_0.20_FOURIER,,706,0.0,9.66191291809082e-05,0.00012260675430297852,0.00022846460342407227,0.0003182649612426758
235.0,SET-D_trapped_FOURIER,,749,0.0,9.66191291809082e-05,0.00012308955192565917,0.00022110342979431152,0.0003169357776641846
283.0,SET-B_RECEIVER_OBSERVABLE,0.05,777,,,,,
283.0,SET-C_SEARCH_BAND_SUPPORTED,0.05,853,,,,,
283.0,SET-B_RECEIVER_OBSERVABLE,0.1,701,,,,,
283.0,SET-C_SEARCH_BAND_SUPPORTED,0.1,852,,,,,
283.0,SET-B_RECEIVER_OBSERVABLE,0.2,532,,,,,
283.0,SET-C_SEARCH_BAND_SUPPORTED,0.2,850,,,,,
283.0,SET-D_REFRACTED_TRAPPED,,902,,,,,
283.0,SET-A_ALL_KRAKEN,,902,,,,,
283.0,SET-A_FOURIER,,902,0.0,9.679794311523438e-05,0.00012290477752685547,0.00022101402282714844,0.0003170967102050781
283.0,SET-B_0.05_FOURIER,,777,0.0,9.679794311523438e-05,0.00012254714965820312,0.00023257732391357422,0.0003247857093811035
283.0,SET-B_0.10_FOURIER,,701,0.0,9.679794311523438e-05,0.00012254714965820312,0.00023651123046875,0.0003293156623840332
283.0,SET-B_0.20_FOURIER,,532,0.0,9.679794311523438e-05,0.0001245737075805664,0.00024271011352539062,0.0003357529640197754
283.0,SET-C_0.05_FOURIER,,853,0.0,9.679794311523438e-05,0.00012254714965820312,0.00022834539413452148,0.00031816959381103516
283.0,SET-C_0.10_FOURIER,,852,0.0,9.679794311523438e-05,0.00012254714965820312,0.00022840499877929688,0.00031816959381103516
283.0,SET-C_0.20_FOURIER,,850,0.0,9.679794311523438e-05,0.00012252330780029296,0.0002288818359375,0.00031816959381103516
283.0,SET-D_trapped_FOURIER,,902,0.0,9.679794311523438e-05,0.00012290477752685547,0.00022101402282714844,0.0003170967102050781
338.0,SET-B_RECEIVER_OBSERVABLE,0.05,921,,,,,
338.0,SET-C_SEARCH_BAND_SUPPORTED,0.05,1019,,,,,
338.0,SET-B_RECEIVER_OBSERVABLE,0.1,830,,,,,
338.0,SET-C_SEARCH_BAND_SUPPORTED,0.1,1017,,,,,
338.0,SET-B_RECEIVER_OBSERVABLE,0.2,613,,,,,
338.0,SET-C_SEARCH_BAND_SUPPORTED,0.2,1016,,,,,
338.0,SET-D_REFRACTED_TRAPPED,,1078,,,,,
338.0,SET-A_ALL_KRAKEN,,1078,,,,,
338.0,SET-A_FOURIER,,1078,0.0,9.703636169433594e-05,0.0001227855682373047,0.00022113323211669922,0.00031726360321044923
338.0,SET-B_0.05_FOURIER,,921,0.0,9.703636169433594e-05,0.00012336969375610353,0.00023436546325683594,0.000325930118560791
338.0,SET-B_0.10_FOURIER,,830,0.0,9.703636169433594e-05,0.0001247882843017578,0.0002359151840209961,0.0003270626068115235
338.0,SET-B_0.20_FOURIER,,613,0.0,0.0001081228256225586,0.0001310110092163086,0.0002453923225402832,0.00033826828002929686
338.0,SET-C_0.05_FOURIER,,1019,0.0,9.703636169433594e-05,0.00012242794036865234,0.00022834539413452148,0.00031827688217163087
338.0,SET-C_0.10_FOURIER,,1017,0.0,9.703636169433594e-05,0.00012242794036865234,0.00022858381271362305,0.00031834840774536133
338.0,SET-C_0.20_FOURIER,,1016,0.0,9.703636169433594e-05,0.00012242794036865234,0.00022876262664794922,0.0003183841705322266
338.0,SET-D_trapped_FOURIER,,1078,0.0,9.703636169433594e-05,0.0001227855682373047,0.00022113323211669922,0.00031726360321044923
