env,f_hz,zs,status,complex_corr,normalized_residual,TL_SHAPE_RMS_DB,TL_SHAPE_CORRELATION,gate_ok
E1_shift50m,201.0,180.0,OK,0.9999997246768693,0.0007202773170490325,0.009936638958472332,0.9999977385021029,True
E1_shift50m,201.0,200.0,OK,0.9999997246768693,0.0007202773170490325,0.009936638958472332,0.9999977385021029,True
E1_shift50m,201.0,220.0,OK,0.9999997246768693,0.0007202773170490325,0.009936638958472332,0.9999977385021029,True
E1_shift50m,235.0,180.0,OK,0.9999995323881744,0.0009130189631879818,0.007295069583578666,0.9999988988260375,True
E1_shift50m,235.0,200.0,OK,0.9999995323881744,0.0009130189631879818,0.007295069583578666,0.9999988988260375,True
E1_shift50m,235.0,220.0,OK,0.9999995323881744,0.0009130189631879818,0.007295069583578666,0.9999988988260375,True
E1_shift50m,283.0,180.0,OK,0.999999176695962,0.0012950814253306446,0.015275137489461589,0.9999884332201796,True
E1_shift50m,283.0,200.0,OK,0.999999176695962,0.0012950814253306446,0.015275137489461589,0.9999884332201796,True
E1_shift50m,283.0,220.0,OK,0.999999176695962,0.0012950814253306446,0.015275137489461589,0.9999884332201796,True
E1_shift50m,338.0,180.0,OK,0.9999985005361128,0.0017438125362482077,0.01895384663946255,0.9999935817254691,True
E1_shift50m,338.0,200.0,OK,0.9999985005361128,0.0017438125362482077,0.01895384663946255,0.9999935817254691,True
E1_shift50m,338.0,220.0,OK,0.9999985005361128,0.0017438125362482077,0.01895384663946255,0.9999935817254691,True
E2_shift150m_plus2,201.0,180.0,OK,0.999999649475483,0.0008286818089164598,0.00453515246629085,0.9999903372424055,True
E2_shift150m_plus2,201.0,200.0,OK,0.999999649475483,0.0008286818089164598,0.00453515246629085,0.9999903372424055,True
E2_shift150m_plus2,201.0,220.0,OK,0.999999649475483,0.0008286818089164598,0.00453515246629085,0.9999903372424055,True
E2_shift150m_plus2,235.0,180.0,OK,0.9999999001805887,0.000498299995041759,0.002448677938763707,0.9999998418266305,True
E2_shift150m_plus2,235.0,200.0,OK,0.9999999001805887,0.000498299995041759,0.002448677938763707,0.9999998418266305,True
E2_shift150m_plus2,235.0,220.0,OK,0.9999999001805887,0.000498299995041759,0.002448677938763707,0.9999998418266305,True
E2_shift150m_plus2,283.0,180.0,OK,0.9999989038848018,0.001450009646493409,0.012035276056795342,0.9999736640705699,True
E2_shift150m_plus2,283.0,200.0,OK,0.9999989038848018,0.001450009646493409,0.012035276056795342,0.9999736640705699,True
E2_shift150m_plus2,283.0,220.0,OK,0.9999989038848018,0.001450009646493409,0.012035276056795342,0.9999736640705699,True
E2_shift150m_plus2,338.0,180.0,OK,0.9999989157183509,0.0014535832578789082,0.018879799563893275,0.9999970918021628,True
E2_shift150m_plus2,338.0,200.0,OK,0.9999989157183509,0.0014535832578789082,0.018879799563893275,0.9999970918021628,True
E2_shift150m_plus2,338.0,220.0,OK,0.9999989157183509,0.0014535832578789082,0.018879799563893275,0.9999970918021628,True
E0_nominal,201.0,180.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,201.0,200.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,201.0,220.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,235.0,180.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,235.0,200.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,235.0,220.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,283.0,180.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,283.0,200.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,283.0,220.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,338.0,180.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,338.0,200.0,REUSE_1F_VALIDATED,,,,,True
E0_nominal,338.0,220.0,REUSE_1F_VALIDATED,,,,,True
