env,pair_id,mechanism,z_true,J_true_star,J_alt_star,delta_J_env,delta_J_gt_0,delta_J_gt_0p5,static_blind
E2_shift150m_plus2,A07,A,220.0,7.105427357601002e-15,3.761622196011364,3.761622196011357,True,True,False
E0_nominal,A08,A,180.0,0.0,3.322978005876759,3.322978005876759,True,True,False
E0_nominal,A08,A,200.0,0.0,3.322978005876759,3.322978005876759,True,True,False
E0_nominal,A08,A,220.0,0.0,3.322978005876759,3.322978005876759,True,True,False
E1_shift50m,A08,A,180.0,7.105427357601002e-15,3.322978005876759,3.322978005876752,True,True,False
E1_shift50m,A08,A,200.0,7.105427357601002e-15,3.322978005876759,3.322978005876752,True,True,False
E1_shift50m,A08,A,220.0,7.105427357601002e-15,3.322978005876759,3.322978005876752,True,True,False
E2_shift150m_plus2,A08,A,180.0,7.105427357601002e-15,3.322978005876759,3.322978005876752,True,True,False
E2_shift150m_plus2,A08,A,200.0,7.105427357601002e-15,3.322978005876759,3.322978005876752,True,True,False
E2_shift150m_plus2,A08,A,220.0,7.105427357601002e-15,3.322978005876759,3.322978005876752,True,True,False
E0_nominal,A09,A,180.0,0.0,2.8167506488346037,2.8167506488346037,True,True,False
E0_nominal,A09,A,200.0,0.0,2.8167506488346032,2.8167506488346032,True,True,False
E0_nominal,A09,A,220.0,0.0,2.8167506488346032,2.8167506488346032,True,True,False
E1_shift50m,A09,A,180.0,1.0048591735576161e-14,2.8167506488346032,2.816750648834593,True,True,False
E1_shift50m,A09,A,200.0,1.0048591735576161e-14,2.8167506488346032,2.816750648834593,True,True,False
E1_shift50m,A09,A,220.0,1.0048591735576161e-14,2.8167506488346032,2.816750648834593,True,True,False
E2_shift150m_plus2,A09,A,180.0,7.105427357601002e-15,2.8167506488346032,2.816750648834596,True,True,False
E2_shift150m_plus2,A09,A,200.0,7.105427357601002e-15,2.8167506488346032,2.816750648834596,True,True,False
E2_shift150m_plus2,A09,A,220.0,7.105427357601002e-15,2.8167506488346032,2.816750648834596,True,True,False
E0_nominal,A10,A,180.0,0.0,1.0633058257760721,1.0633058257760721,True,True,False
E0_nominal,A10,A,200.0,0.0,1.0633058257760724,1.0633058257760724,True,True,False
E0_nominal,A10,A,220.0,0.0,1.0633058257760724,1.0633058257760724,True,True,False
E1_shift50m,A10,A,180.0,7.105427357601002e-15,1.0633058257760724,1.0633058257760652,True,True,False
E1_shift50m,A10,A,200.0,7.105427357601002e-15,1.0633058257760724,1.0633058257760652,True,True,False
E1_shift50m,A10,A,220.0,7.105427357601002e-15,1.0633058257760724,1.0633058257760652,True,True,False
E2_shift150m_plus2,A10,A,180.0,1.0048591735576161e-14,1.0633058257760724,1.0633058257760624,True,True,False
E2_shift150m_plus2,A10,A,200.0,1.0048591735576161e-14,1.0633058257760724,1.0633058257760624,True,True,False
E2_shift150m_plus2,A10,A,220.0,1.0048591735576161e-14,1.0633058257760724,1.0633058257760624,True,True,False
E0_nominal,B01,B,180.0,0.0,2.707920896683704,2.707920896683704,True,True,False
E0_nominal,B01,B,200.0,0.0,2.7255447038357827,2.7255447038357827,True,True,False
E0_nominal,B01,B,220.0,0.0,2.6997602473366604,2.6997602473366604,True,True,False
