f_hz,T_s,z_i_m,z_j_m,D_1minus_corr,distinguishable_D_gt_0p05
235.0,600.0,150.0,180.0,0.09878609692677842,True
235.0,600.0,150.0,200.0,1.9705633550630586,True
235.0,600.0,150.0,220.0,1.9925636541917717,True
235.0,600.0,150.0,250.0,1.9981629604516333,True
235.0,600.0,180.0,200.0,1.770308685770781,True
235.0,600.0,180.0,220.0,1.8417589088806268,True
235.0,600.0,180.0,250.0,1.8733017991969536,True
235.0,600.0,200.0,220.0,0.00733670365458583,False
235.0,600.0,200.0,250.0,0.016627649199033256,False
235.0,600.0,220.0,250.0,0.0018847557692481809,False
