group,T_s,z_i_m,z_j_m,delta_z_m,D_abs,distinguishable_gt_0p05,metric
A,600.0,180,190,10,0.5011071100074918,True,D=1-|corr| on stacked track intensity
A,600.0,190,200,10,0.0503129268898348,True,D=1-|corr| on stacked track intensity
A,600.0,200,210,10,0.003116061982161855,False,D=1-|corr| on stacked track intensity
A,600.0,210,220,10,0.0007041709377387795,False,D=1-|corr| on stacked track intensity
A,600.0,180,200,20,0.2547685078464459,True,D=1-|corr| on stacked track intensity
A,600.0,200,220,20,0.006777802199671057,False,D=1-|corr| on stacked track intensity
A,1200.0,180,190,10,0.08355789014174553,True,D=1-|corr| on stacked track intensity
A,1200.0,190,200,10,0.008751680337973355,False,D=1-|corr| on stacked track intensity
A,1200.0,200,210,10,0.002332576839710221,False,D=1-|corr| on stacked track intensity
A,1200.0,210,220,10,0.0009798434692781521,False,D=1-|corr| on stacked track intensity
A,1200.0,180,200,20,0.14440457255792583,True,D=1-|corr| on stacked track intensity
A,1200.0,200,220,20,0.00633124321738876,False,D=1-|corr| on stacked track intensity
B,600.0,180,190,10,0.5011093902774535,True,D=1-|corr| on stacked track intensity
B,600.0,190,200,10,0.05031940101912802,True,D=1-|corr| on stacked track intensity
B,600.0,200,210,10,0.003116285295551635,False,D=1-|corr| on stacked track intensity
B,600.0,210,220,10,0.0007041995169946302,False,D=1-|corr| on stacked track intensity
B,600.0,180,200,20,0.2547564793567013,True,D=1-|corr| on stacked track intensity
B,600.0,200,220,20,0.006778219776966465,False,D=1-|corr| on stacked track intensity
B,1200.0,180,190,10,0.08356262366588696,True,D=1-|corr| on stacked track intensity
B,1200.0,190,200,10,0.008752101294246972,False,D=1-|corr| on stacked track intensity
B,1200.0,200,210,10,0.00233267685602645,False,D=1-|corr| on stacked track intensity
B,1200.0,210,220,10,0.0009798683676879305,False,D=1-|corr| on stacked track intensity
B,1200.0,180,200,20,0.14441234637196254,True,D=1-|corr| on stacked track intensity
B,1200.0,200,220,20,0.006331471033943603,False,D=1-|corr| on stacked track intensity
C,600.0,180,190,10,0.006675035813312191,False,D=1-|corr| on stacked track intensity
C,600.0,190,200,10,0.006057862208976084,False,D=1-|corr| on stacked track intensity
C,600.0,200,210,10,0.006806356625471688,False,D=1-|corr| on stacked track intensity
C,600.0,210,220,10,0.008696792014107668,False,D=1-|corr| on stacked track intensity
C,600.0,180,200,20,0.02535001797858283,False,D=1-|corr| on stacked track intensity
C,600.0,200,220,20,0.030733905736708533,False,D=1-|corr| on stacked track intensity
C,1200.0,180,190,10,0.006683318623523449,False,D=1-|corr| on stacked track intensity
C,1200.0,190,200,10,0.006174962464336575,False,D=1-|corr| on stacked track intensity
C,1200.0,200,210,10,0.007091362715789806,False,D=1-|corr| on stacked track intensity
C,1200.0,210,220,10,0.00920752338598585,False,D=1-|corr| on stacked track intensity
C,1200.0,180,200,20,0.02559753683992727,False,D=1-|corr| on stacked track intensity
C,1200.0,200,220,20,0.032278590304416155,False,D=1-|corr| on stacked track intensity
D,600.0,180,190,10,0.00014225832786918247,False,D=1-|corr| on stacked track intensity
D,600.0,190,200,10,0.00011481764196397126,False,D=1-|corr| on stacked track intensity
D,600.0,200,210,10,0.0001763116131390241,False,D=1-|corr| on stacked track intensity
D,600.0,210,220,10,0.0008882499315359116,False,D=1-|corr| on stacked track intensity
D,600.0,180,200,20,0.00042166269505050646,False,D=1-|corr| on stacked track intensity
D,600.0,200,220,20,0.0017716366347492185,False,D=1-|corr| on stacked track intensity
D,1200.0,180,190,10,0.00046785476605681886,False,D=1-|corr| on stacked track intensity
D,1200.0,190,200,10,0.000582948341753653,False,D=1-|corr| on stacked track intensity
D,1200.0,200,210,10,0.0007781387745385837,False,D=1-|corr| on stacked track intensity
D,1200.0,210,220,10,0.002135955375088927,False,D=1-|corr| on stacked track intensity
D,1200.0,180,200,20,0.0020251321046356185,False,D=1-|corr| on stacked track intensity
D,1200.0,200,220,20,0.005386013242690613,False,D=1-|corr| on stacked track intensity
