source_level,freqs_hz,T_s,track_len_m,z_true_m,n_el,motion,z_hat_m,err_z_m,peak,fwhm_m,width_3db_m,psl,n_local_peaks,multimodal,method,note
C-S2_joint,"[201.0, 235.0]",1200.0,2400.0,180.0,1,True,180.0,0.0,0.9999999999999969,120.0,120.0,0.9705089936064314,2.0,True,Zhu-like matched intensity (E-STD modal I'),
C-S2_joint,"[201.0, 235.0]",1200.0,2400.0,200.0,1,True,200.0,0.0,0.9999999999999993,120.0,120.0,0.9975321412118745,2.0,True,Zhu-like matched intensity (E-STD modal I'),
C-S2_joint,"[201.0, 235.0]",1200.0,2400.0,220.0,1,True,220.0,0.0,0.9999999999999977,120.0,120.0,0.941409010063304,2.0,True,Zhu-like matched intensity (E-STD modal I'),
C-S2_joint,"[201.0, 235.0]",1200.0,2400.0,250.0,1,True,250.0,0.0,1.0,120.0,120.0,0.9996065029248107,2.0,True,Zhu-like matched intensity (E-STD modal I'),
C-S1,"[204.0, 232.0]",1200.0,2400.0,150.0,1,True,150.0,0.0,0.999999999999999,120.0,120.0,0.997727922906666,2.0,True,Zhu-like matched intensity (E-STD modal I'),
C-S1,"[204.0, 232.0]",1200.0,2400.0,180.0,1,True,180.0,0.0,0.9999999999999991,120.0,120.0,0.9978961628192597,2.0,True,Zhu-like matched intensity (E-STD modal I'),
C-S1,"[204.0, 232.0]",1200.0,2400.0,200.0,1,True,200.0,0.0,0.9999999999999998,120.0,120.0,0.9994075067159875,2.0,True,Zhu-like matched intensity (E-STD modal I'),
C-S1,"[204.0, 232.0]",1200.0,2400.0,220.0,1,True,220.0,0.0,0.9999999999999986,120.0,120.0,0.979878146920898,1.0,False,Zhu-like matched intensity (E-STD modal I'),
C-S1,"[204.0, 232.0]",1200.0,2400.0,250.0,1,True,250.0,0.0,0.9999999999999998,120.0,120.0,0.9993397094609051,2.0,True,Zhu-like matched intensity (E-STD modal I'),
C-S0,[],,,,1,True,,,,,,,,,METHOD_NOT_APPLICABLE_WITHOUT_TRACKABLE_LINE,Zhu CW track method requires trackable stable line; S0 not forced
