group,T_s,z_true_m,z_hat_m,err_z_m,fwhm_local_m,fwhm_flag,psl,psl_flag,steer,n_el,n_freqs,dr_m
A,600.0,180.0,180.0,0.0,24.0,local,0.842712656799405,ok,False,1,1,10.0
A,600.0,190.0,190.0,0.0,55.0,local,0.8280569175201911,ok,False,1,1,10.0
A,600.0,200.0,200.0,0.0,54.0,local,0.9617283693012688,ok,False,1,1,10.0
A,600.0,210.0,210.0,0.0,53.0,local,0.980285377943072,ok,False,1,1,10.0
A,600.0,220.0,220.0,0.0,53.0,local,0.98698456052975,ok,False,1,1,10.0
A,1200.0,180.0,180.0,0.0,67.0,local,0.4807054913406047,ok,False,1,1,10.0
A,1200.0,190.0,190.0,0.0,64.0,local,0.790481613900427,ok,False,1,1,10.0
A,1200.0,200.0,200.0,0.0,64.0,local,0.8639476977529246,ok,False,1,1,10.0
A,1200.0,210.0,210.0,0.0,63.0,local,0.8960731447894282,ok,False,1,1,10.0
A,1200.0,220.0,220.0,0.0,63.0,local,0.9146980678571432,ok,False,1,1,10.0
C,600.0,180.0,180.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,False,1,4,10.0
C,600.0,190.0,190.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,False,1,4,10.0
C,600.0,200.0,200.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,False,1,4,10.0
C,600.0,210.0,210.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,False,1,4,10.0
C,600.0,220.0,220.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,False,1,4,10.0
C,1200.0,180.0,180.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,False,1,4,10.0
C,1200.0,190.0,190.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,False,1,4,10.0
C,1200.0,200.0,200.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,False,1,4,10.0
C,1200.0,210.0,210.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,False,1,4,10.0
C,1200.0,220.0,220.0,0.0,63.0,local,0.6144342188355838,ok,False,1,4,10.0
B,600.0,180.0,180.0,0.0,24.0,local,0.8427131820455591,,CORRECTED exp(-j k0 x),8,1,10.0
B,600.0,190.0,190.0,0.0,55.0,local,0.8280564508771082,,CORRECTED exp(-j k0 x),8,1,10.0
B,600.0,200.0,200.0,0.0,54.0,local,0.961728342258376,,CORRECTED exp(-j k0 x),8,1,10.0
B,600.0,210.0,210.0,0.0,53.0,local,0.9802853749614215,,CORRECTED exp(-j k0 x),8,1,10.0
B,600.0,220.0,220.0,0.0,53.0,local,0.9869845621195277,,CORRECTED exp(-j k0 x),8,1,10.0
B,1200.0,180.0,180.0,0.0,67.0,local,0.48070491103859836,,CORRECTED exp(-j k0 x),8,1,10.0
B,1200.0,190.0,190.0,0.0,64.0,local,0.7904815927963611,,CORRECTED exp(-j k0 x),8,1,10.0
B,1200.0,200.0,200.0,0.0,64.0,local,0.8639477418651327,,CORRECTED exp(-j k0 x),8,1,10.0
B,1200.0,210.0,210.0,0.0,63.0,local,0.8960732020236337,,CORRECTED exp(-j k0 x),8,1,10.0
B,1200.0,220.0,220.0,0.0,63.0,local,0.9146981278882104,,CORRECTED exp(-j k0 x),8,1,10.0
D,600.0,180.0,180.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,CORRECTED exp(-j k0 x),8,4,10.0
D,600.0,190.0,190.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,CORRECTED exp(-j k0 x),8,4,10.0
D,600.0,200.0,200.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,CORRECTED exp(-j k0 x),8,4,10.0
D,600.0,210.0,210.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,CORRECTED exp(-j k0 x),8,4,10.0
D,600.0,220.0,220.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,CORRECTED exp(-j k0 x),8,4,10.0
D,1200.0,180.0,180.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,CORRECTED exp(-j k0 x),8,4,10.0
D,1200.0,190.0,190.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,CORRECTED exp(-j k0 x),8,4,10.0
D,1200.0,200.0,200.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,CORRECTED exp(-j k0 x),8,4,10.0
D,1200.0,210.0,210.0,0.0,80.0,FULL_WINDOW_UNRESOLVED,,,CORRECTED exp(-j k0 x),8,4,10.0
D,1200.0,220.0,220.0,0.0,63.0,local,0.6144339094576361,,CORRECTED exp(-j k0 x),8,4,10.0
