f_hz,T_s,track_len_m,z_true_m,z_hat_m,err_z_m,peak,fwhm_m,width_3db_m,psl,n_local_peaks,multimodal
235.0,300.0,600.0,180.0,180.0,0.0,0.9999999999999516,120.0,120.0,0.9987044859078652,1,False
235.0,300.0,600.0,200.0,200.0,0.0,0.9999999999999499,120.0,120.0,0.9981098898506496,1,False
235.0,300.0,600.0,220.0,220.0,0.0,0.9999999999999947,120.0,120.0,0.9999482637201216,1,False
235.0,600.0,1200.0,180.0,180.0,0.0,0.9999999999999595,120.0,120.0,0.9655592999293189,1,False
235.0,600.0,1200.0,200.0,200.0,0.0,0.9999999999999947,120.0,120.0,0.9982869395319605,1,False
235.0,600.0,1200.0,220.0,220.0,0.0,0.9999999999999988,120.0,120.0,0.999872370164952,1,False
235.0,1200.0,2400.0,180.0,180.0,0.0,0.9999999999999939,120.0,64.0,0.9414254703275092,1,False
235.0,1200.0,2400.0,200.0,200.0,0.0,0.9999999999999992,120.0,120.0,0.9988819349556872,1,False
235.0,1200.0,2400.0,220.0,220.0,0.0,0.9999999999999999,120.0,120.0,0.9997500768959142,1,False
