dr_m,n_r,T_s,group,D_200_210,D_200_220,per_freq_220
5.0,481,1200.0,D,0.008947634178436248,0.3402558866991555,"[0.5793551664362914, 0.9937925909142652, 0.9997625757831639, 0.06606612006965756]"
10.0,241,1200.0,D,0.008977809064180775,0.34014498301657714,"[0.5790540847017682, 0.9937676646657546, 0.9997615964692483, 0.06683672209691997]"
20.0,121,1200.0,D,0.009037455955828833,0.33992535272446434,"[0.578465600502396, 0.9937182881956155, 0.9997596561171443, 0.06835504428698708]"
