span,zs,snr,method,SNR_AT_R0_DB,N_DETECTED_PEAKS,N_UNIQUE_MODE_IDS,N_ORACLE_AMBIGUOUS,N_CORRECT,MODE_ORDER_RECOVERY_RATE,MODE_ORDER_ASSIGNMENT_CONSISTENCY,median_k_err,max_k_err,eq24_cost,role,p,n_own_peak_levels
insufficient_1990m,4.0,R0_NOISELESS,SAB_FOURIER,inf,21,20,1,2,0.1,0.1,0.0020003373162291727,0.005040084609318596,inf,,,
insufficient_1990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,inf,6,6,0,6,1.0,1.0,0.0027504605680847005,0.004735619827270554,0.0578473735280855,PAPER_PRINTED_PRIMARY_BRANCH,7.0,6.0
insufficient_1990m,4.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,inf,5,5,0,5,1.0,1.0,0.0020353661056518035,0.004735619827270554,0.021612323946450497,PAPER_PRINTED_PRIMARY_BRANCH,7.0,5.0
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,inf,11,11,0,11,1.0,1.0,3.4534911804273705e-05,0.0007558683612061134,inf,SENSITIVITY,531.0,11.0
insufficient_1990m,4.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,inf,3,3,0,3,1.0,1.0,0.0006333101727293844,0.0007558683612061134,0.0049152212480498055,SENSITIVITY,531.0,3.0
insufficient_1990m,4.0,R1_20dB,SAB_FOURIER,20.1135453249478,20,19,1,2,0.10526315789473684,0.10526315789473684,0.0004588345416680628,0.005040084609318596,inf,,,
insufficient_1990m,4.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,20.1135453249478,2,2,0,2,1.0,1.0,0.0007365318608092419,0.0010325938943480661,0.0011968935853365818,PAPER_PRINTED_PRIMARY_BRANCH,7.0,2.0
insufficient_1990m,4.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,20.1135453249478,2,2,0,2,1.0,1.0,0.0007365318608092419,0.0010325938943480661,0.0011968935853365818,PAPER_PRINTED_PRIMARY_BRANCH,7.0,2.0
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,20.1135453249478,11,11,0,11,1.0,1.0,0.0003106938717651886,0.0027199738943481933,inf,SENSITIVITY,531.0,40.0
insufficient_1990m,4.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,20.1135453249478,5,5,0,5,1.0,1.0,0.00014904968505868865,0.0027199738943481933,0.025641135742853472,SENSITIVITY,531.0,8.0
insufficient_1990m,50.0,R0_NOISELESS,SAB_FOURIER,inf,18,18,0,1,0.05555555555555555,0.05555555555555555,0.0005523129511899594,0.017181440076839305,inf,,,
insufficient_1990m,50.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,inf,6,5,1,5,1.0,1.0,0.002448570790405169,0.0056646083612059694,0.05909986723603177,PAPER_PRINTED_PRIMARY_BRANCH,7.0,6.0
insufficient_1990m,50.0,R0_NOISELESS,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,inf,2,2,0,2,1.0,1.0,0.0016291159559630453,0.002448570790405169,0.0002639376710483226,PAPER_PRINTED_PRIMARY_BRANCH,7.0,2.0
insufficient_1990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,inf,11,11,0,11,1.0,1.0,3.4534911804273705e-05,0.00028700211975096757,inf,SENSITIVITY,531.0,11.0
insufficient_1990m,50.0,R0_NOISELESS,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,inf,2,2,0,2,1.0,1.0,6.017847351069694e-05,7.76858255004953e-05,3.086094867071021e-05,SENSITIVITY,531.0,2.0
insufficient_1990m,50.0,R1_20dB,SAB_FOURIER,20.1135453249478,19,19,0,1,0.05263157894736842,0.05263157894736842,0.001049978853690181,0.02063289684958236,inf,,,
insufficient_1990m,50.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_PRINTED_EQ19_POWER_1,20.1135453249478,1,1,0,1,1.0,1.0,0.00047998788024905537,0.00047998788024905537,2.303883651859815e-07,PAPER_PRINTED_PRIMARY_BRANCH,7.0,1.0
insufficient_1990m,50.0,R1_20dB,MMAR_PRINTED_LITERAL_CONTROL_STANDARD_PSD_POWER_2,20.1135453249478,1,1,0,1,1.0,1.0,0.00047998788024905537,0.00047998788024905537,2.303883651859815e-07,PAPER_PRINTED_PRIMARY_BRANCH,7.0,1.0
insufficient_1990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_PRINTED_EQ19_POWER_1,20.1135453249478,23,22,1,1,0.045454545454545456,0.045454545454545456,0.0017365816046143179,0.06285053887847902,inf,SENSITIVITY,531.0,130.0
insufficient_1990m,50.0,R1_20dB,MMAR_OUR_MOVING_SAMPLE_INTERPRETATION_STANDARD_PSD_POWER_2,20.1135453249478,5,5,0,4,0.8,0.8,0.0004543907904053235,0.05656121887847898,0.09869194020159339,SENSITIVITY,531.0,23.0
