span,zs,snr,p,omega,k_if_mapped,P_ar,P_ar_db
sufficient_4990m,4.0,R0_NOISELESS,7,-3.141592653589793,1.25663706,3.8072022474664105e-13,-119.52475668210653
sufficient_4990m,4.0,R0_NOISELESS,7,-3.1354567304382504,1.25418269,3.318773956824808e-13,-120.71732217687472
sufficient_4990m,4.0,R0_NOISELESS,7,-3.129320807286708,1.25172832,2.901777448706899e-13,-121.88359362051935
sufficient_4990m,4.0,R0_NOISELESS,7,-3.1231848841351653,1.24927395,2.544507235708316e-13,-123.02480184145284
sufficient_4990m,4.0,R0_NOISELESS,7,-3.117048960983623,1.24681958,2.237378866647902e-13,-124.14208501339542
sufficient_4990m,4.0,R0_NOISELESS,7,-3.11091303783208,1.24436522,1.9725084238165586e-13,-125.23649831360774
sufficient_4990m,4.0,R0_NOISELESS,7,-3.104777114680538,1.24191085,1.743382440105129e-13,-126.30902229894551
sufficient_4990m,4.0,R0_NOISELESS,7,-3.098641191528995,1.23945648,1.5445973017655456e-13,-127.36057020856703
sufficient_4990m,4.0,R0_NOISELESS,7,-3.0925052683774528,1.23700211,1.3716523897892983e-13,-128.39199435562486
sufficient_4990m,4.0,R0_NOISELESS,7,-3.08636934522591,1.23454774,1.2207850296795641e-13,-129.4040917463853
sufficient_4990m,4.0,R0_NOISELESS,7,-3.0802334220743677,1.23209337,1.0888381533539099e-13,-130.39760903885312
sufficient_4990m,4.0,R0_NOISELESS,7,-3.074097498922825,1.229639,9.731536939457722e-14,-131.37324693535393
sufficient_4990m,4.0,R0_NOISELESS,7,-3.067961575771282,1.22718463,8.71486327493611e-14,-132.33166408588903
sufficient_4990m,4.0,R0_NOISELESS,7,-3.06182565261974,1.22473026,7.819333811779152e-14,-133.27348056932408
sufficient_4990m,4.0,R0_NOISELESS,7,-3.055689729468197,1.22227589,7.028776467760315e-14,-134.19928100713014
sufficient_4990m,4.0,R0_NOISELESS,7,-3.0495538063166547,1.21982152,6.329405417893172e-14,-135.10961735610516
sufficient_4990m,4.0,R0_NOISELESS,7,-3.043417883165112,1.21736715,5.709436027796311e-14,-136.00501142130634
sufficient_4990m,4.0,R0_NOISELESS,7,-3.0372819600135696,1.21491278,5.1587671560101114e-14,-136.88595712179793
sufficient_4990m,4.0,R0_NOISELESS,7,-3.031146036862027,1.21245841,4.668718137857108e-14,-137.75292253972123
sufficient_4990m,4.0,R0_NOISELESS,7,-3.0250101137104846,1.21000405,4.231810320686733e-14,-138.60635177733207
sufficient_4990m,4.0,R0_NOISELESS,7,-3.018874190558942,1.20754968,3.841585027590026e-14,-139.4466666439244
sufficient_4990m,4.0,R0_NOISELESS,7,-3.012738267407399,1.20509531,3.4924514113173677e-14,-140.2742681911298
sufficient_4990m,4.0,R0_NOISELESS,7,-3.0066023442558567,1.20264094,3.1795589149632954e-14,-141.08953811413804
sufficient_4990m,4.0,R0_NOISELESS,7,-3.000466421104314,1.20018657,2.8986900561499436e-14,-141.89284003161606
sufficient_4990m,4.0,R0_NOISELESS,7,-2.9943304979527716,,2.6461700479614794e-14,-142.68452065848476
sufficient_4990m,4.0,R0_NOISELESS,7,-2.988194574801229,,2.418790410815758e-14,-143.46491088144055
sufficient_4990m,4.0,R0_NOISELESS,7,-2.9820586516496865,,2.2137442436040856e-14,-144.23432674728775
sufficient_4990m,4.0,R0_NOISELESS,7,-2.9759227284981438,,2.0285712382347297e-14,-144.99307037297692
sufficient_4990m,4.0,R0_NOISELESS,7,-2.9697868053466014,,1.8611108587858886e-14,-145.74143078431615
sufficient_4990m,4.0,R0_NOISELESS,7,-2.9636508821950587,,1.709462379936459e-14,-146.47968469061001
sufficient_4990m,4.0,R0_NOISELESS,7,-2.9575149590435164,,1.5719507028288352e-14,-147.20809720093834
sufficient_4990m,4.0,R0_NOISELESS,7,-2.9513790358919736,,1.4470970490265374e-14,-147.9269224874939
sufficient_4990m,4.0,R0_NOISELESS,7,-2.945243112740431,,1.3335937830913345e-14,-148.63640440050767
sufficient_4990m,4.0,R0_NOISELESS,7,-2.9391071895888885,,1.2302827374121794e-14,-149.33677703955777
sufficient_4990m,4.0,R0_NOISELESS,7,-2.9329712664373457,,1.1361365148137467e-14,-150.02826528427767
sufficient_4990m,4.0,R0_NOISELESS,7,-2.9268353432858034,,1.0502423282971483e-14,-150.71108528874046
sufficient_4990m,4.0,R0_NOISELESS,7,-2.9206994201342606,,9.717880072491074e-15,-151.38544494197762
sufficient_4990m,4.0,R0_NOISELESS,7,-2.9145634969827183,,9.000498573068186e-15,-152.05154429762032
sufficient_4990m,4.0,R0_NOISELESS,7,-2.9084275738311756,,8.343821094247897e-15,-152.7095759752925
sufficient_4990m,4.0,R0_NOISELESS,7,-2.9022916506796332,,7.742077341063289e-15,-153.35972553581246
sufficient_4990m,4.0,R0_NOISELESS,7,-2.8961557275280905,,7.190104305345551e-15,-154.0021718324102
sufficient_4990m,4.0,R0_NOISELESS,7,-2.890019804376548,,6.6832762874326844e-15,-154.63708733977185
sufficient_4990m,4.0,R0_NOISELESS,7,-2.8838838812250054,,6.217443668310766e-15,-155.26463846264232
sufficient_4990m,4.0,R0_NOISELESS,7,-2.8777479580734626,,5.7888792535824505e-15,-155.88498582539617
