span,zs,snr,p,omega,k_if_mapped,P_ar,P_ar_db
sufficient_4990m,4.0,R0_NOISELESS,7,-2.8716120349219203,,5.394231180339598e-15,-156.49828454425105
sufficient_4990m,4.0,R0_NOISELESS,7,-2.8654761117703775,,5.0304815223400275e-15,-157.10468448307748
sufficient_4990m,4.0,R0_NOISELESS,7,-2.859340188618835,,4.694909850461691e-15,-157.70433049425935
sufficient_4990m,4.0,R0_NOISELESS,7,-2.8532042654672924,,4.385061109383683e-15,-158.297362645571
sufficient_4990m,4.0,R0_NOISELESS,7,-2.84706834231575,,4.098717259675736e-15,-158.8839164339488
sufficient_4990m,4.0,R0_NOISELESS,7,-2.8409324191642074,,3.833872209585069e-15,-159.46412298729737
sufficient_4990m,4.0,R0_NOISELESS,7,-2.834796496012665,,3.588709625400492e-15,-160.03810925490296
sufficient_4990m,4.0,R0_NOISELESS,7,-2.8286605728611223,,3.3615832640914964e-15,-160.6059981874179
sufficient_4990m,4.0,R0_NOISELESS,7,-2.82252464970958,,3.150999519282342e-15,-161.1679089070161
sufficient_4990m,4.0,R0_NOISELESS,7,-2.816388726558037,,2.955601912090488e-15,-161.72395686840727
sufficient_4990m,4.0,R0_NOISELESS,7,-2.8102528034064944,,2.7741572932830665e-15,-162.27425401121792
sufficient_4990m,4.0,R0_NOISELESS,7,-2.804116880254952,,2.6055435531529124e-15,-162.81890890448412
sufficient_4990m,4.0,R0_NOISELESS,7,-2.7979809571034093,,2.4487386616041986e-15,-163.35802688350367
sufficient_4990m,4.0,R0_NOISELESS,7,-2.791845033951867,,2.3028108831720897e-15,-163.89171017976892
sufficient_4990m,4.0,R0_NOISELESS,7,-2.7857091108003242,,2.166910031230833e-15,-164.4200580442761
sufficient_4990m,4.0,R0_NOISELESS,7,-2.779573187648782,,2.040259642411449e-15,-164.94316686458816
sufficient_4990m,4.0,R0_NOISELESS,7,-2.773437264497239,,1.9221499668017274e-15,-165.46113027618753
sufficient_4990m,4.0,R0_NOISELESS,7,-2.767301341345697,,1.8119316822806848e-15,-165.97403926826914
sufficient_4990m,4.0,R0_NOISELESS,7,-2.761165418194154,,1.709010252292702e-15,-166.48198228445463
sufficient_4990m,4.0,R0_NOISELESS,7,-2.7550294950426117,,1.612840856052872e-15,-166.98504531864668
sufficient_4990m,4.0,R0_NOISELESS,7,-2.748893571891069,,1.5229238285479337e-15,-167.4833120063428
sufficient_4990m,4.0,R0_NOISELESS,7,-2.742757648739526,,1.4388005550580676e-15,-167.97686371161558
sufficient_4990m,4.0,R0_NOISELESS,7,-2.736621725587984,,1.3600497713217289e-15,-168.46577961010357
sufficient_4990m,4.0,R0_NOISELESS,7,-2.730485802436441,,1.2862842261356774e-15,-168.95013676811192
sufficient_4990m,4.0,R0_NOISELESS,7,-2.724349879284899,,1.2171476680759183e-15,-169.43001021815843
sufficient_4990m,4.0,R0_NOISELESS,7,-2.718213956133356,,1.1523121223959623e-15,-169.90547303109125
sufficient_4990m,4.0,R0_NOISELESS,7,-2.7120780329818137,,1.091475427958877e-15,-170.37659638495586
sufficient_4990m,4.0,R0_NOISELESS,7,-2.705942109830271,,1.0343590074058884e-15,-170.8434496308617
sufficient_4990m,4.0,R0_NOISELESS,7,-2.6998061866787286,,9.807058467458968e-16,-171.30610035591403
sufficient_4990m,4.0,R0_NOISELESS,7,-2.693670263527186,,9.302786631367475e-16,-171.76461444343775
sufficient_4990m,4.0,R0_NOISELESS,7,-2.6875343403756435,,8.828582419481742e-16,-172.21905613060702
sufficient_4990m,4.0,R0_NOISELESS,7,-2.6813984172241008,,8.38241926229684e-16,-172.66948806361972
sufficient_4990m,4.0,R0_NOISELESS,7,-2.675262494072558,,7.962422435127619e-16,-173.1159713505247
sufficient_4990m,4.0,R0_NOISELESS,7,-2.6691265709210157,,7.566856564684151e-16,-173.55856561187028
sufficient_4990m,4.0,R0_NOISELESS,7,-2.662990647769473,,7.194114253704258e-16,-173.99732902921485
sufficient_4990m,4.0,R0_NOISELESS,7,-2.6568547246179306,,6.842705715593394e-16,-174.4323183916761
sufficient_4990m,4.0,R0_NOISELESS,7,-2.650718801466388,,6.511249322319209e-16,-174.86358914057251
sufficient_4990m,4.0,R0_NOISELESS,7,-2.6445828783148455,,6.198462978705694e-16,-175.29119541225268
sufficient_4990m,4.0,R0_NOISELESS,7,-2.6384469551633027,,5.903156245115985e-16,-175.71519007922632
sufficient_4990m,4.0,R0_NOISELESS,7,-2.63231103201176,,5.624223138445392e-16,-176.13562478965778
sufficient_4990m,4.0,R0_NOISELESS,7,-2.6261751088602177,,5.360635548368883e-16,-176.55255000529817
sufficient_4990m,4.0,R0_NOISELESS,7,-2.6200391857086753,,5.111437212060909e-16,-176.96601503795154
sufficient_4990m,4.0,R0_NOISELESS,7,-2.6139032625571326,,4.875738196255453e-16,-177.37606808451943
sufficient_4990m,4.0,R0_NOISELESS,7,-2.60776733940559,,4.652709840510816e-16,-177.78275626070575
sufficient_4990m,4.0,R0_NOISELESS,7,-2.6016314162540475,,4.441580120055861e-16,-178.1861256334421
sufficient_4990m,4.0,R0_NOISELESS,7,-2.5954954931025047,,4.241629390626957e-16,-178.58622125208365
sufficient_4990m,4.0,R0_NOISELESS,7,-2.5893595699509624,,4.052186481310062e-16,-178.9830871784381
sufficient_4990m,4.0,R0_NOISELESS,7,-2.5832236467994196,,3.872625104646912e-16,-179.37676651568896
sufficient_4990m,4.0,R0_NOISELESS,7,-2.5770877236478773,,3.702360556192341e-16,-179.76730143623735
sufficient_4990m,4.0,R0_NOISELESS,7,-2.5709518004963345,,3.540846678301405e-16,-180.1547332085411
sufficient_4990m,4.0,R0_NOISELESS,7,-2.5648158773447918,,3.3875730653064126e-16,-180.5391022229735
sufficient_4990m,4.0,R0_NOISELESS,7,-2.5586799541932495,,3.2420624893500404e-16,-180.92044801675016
sufficient_4990m,4.0,R0_NOISELESS,7,-2.552544031041707,,3.1038685280525547e-16,-181.2988092979711
sufficient_4990m,4.0,R0_NOISELESS,7,-2.5464081078901644,,2.972573376919664e-16,-181.67422396880724
sufficient_4990m,4.0,R0_NOISELESS,7,-2.5402721847386216,,2.847785830946962e-16,-182.04672914787054
sufficient_4990m,4.0,R0_NOISELESS,7,-2.5341362615870793,,2.7291394212798386e-16,-182.41636119180836
sufficient_4990m,4.0,R0_NOISELESS,7,-2.5280003384355365,,2.6162906940616473e-16,-182.7831557161437
sufficient_4990m,4.0,R0_NOISELESS,7,-2.521864415283994,,2.5089176197433174e-16,-183.14714761540077
sufficient_4990m,4.0,R0_NOISELESS,7,-2.5157284921324514,,2.4067181221674287e-16,-183.50837108254734
sufficient_4990m,4.0,R0_NOISELESS,7,-2.509592568980909,,2.309408717684059e-16,-183.86685962776934
sufficient_4990m,4.0,R0_NOISELESS,7,-2.5034566458293663,,2.2167232553977158e-16,-184.22264609662264
sufficient_4990m,4.0,R0_NOISELESS,7,-2.4973207226778236,,2.1284117504262717e-16,-184.5757626875742
sufficient_4990m,4.0,R0_NOISELESS,7,-2.4911847995262812,,2.044239302748357e-16,-184.92624096895892
sufficient_4990m,4.0,R0_NOISELESS,7,-2.485048876374739,,1.9639850948510402e-16,-185.2741118953826
sufficient_4990m,4.0,R0_NOISELESS,7,-2.478912953223196,,1.8874414619707123e-16,-185.61940582358577
sufficient_4990m,4.0,R0_NOISELESS,7,-2.4727770300716534,,1.8144130292434917e-16,-185.9621525277903
sufficient_4990m,4.0,R0_NOISELESS,7,-2.466641106920111,,1.7447159105579932e-16,-186.30238121455562
sufficient_4990m,4.0,R0_NOISELESS,7,-2.4605051837685683,,1.6781769643420184e-16,-186.64012053715393
sufficient_4990m,4.0,R0_NOISELESS,7,-2.454369260617026,,1.614633101907014e-16,-186.97539860948882
sufficient_4990m,4.0,R0_NOISELESS,7,-2.448233337465483,,1.5539306443364388e-16,-187.30824301957824
sufficient_4990m,4.0,R0_NOISELESS,7,-2.442097414313941,,1.495924724235867e-16,-187.63868084260568
sufficient_4990m,4.0,R0_NOISELESS,7,-2.435961491162398,,1.4404787289578178e-16,-187.96673865357192
sufficient_4990m,4.0,R0_NOISELESS,7,-2.4298255680108554,,1.3874637821937338e-16,-188.29244253955073
sufficient_4990m,4.0,R0_NOISELESS,7,-2.423689644859313,,1.3367582610730724e-16,-188.61581811156643
sufficient_4990m,4.0,R0_NOISELESS,7,-2.4175537217077707,,1.2882473461385434e-16,-188.93689051611057
sufficient_4990m,4.0,R0_NOISELESS,7,-2.411417798556228,,1.2418226017771588e-16,-189.255684446307
sufficient_4990m,4.0,R0_NOISELESS,7,-2.405281875404685,,1.1973815848774066e-16,-189.57222415273844
sufficient_4990m,4.0,R0_NOISELESS,7,-2.399145952253143,,1.1548274796577526e-16,-189.8865334539514
sufficient_4990m,4.0,R0_NOISELESS,7,-2.3930100291016,,1.1140687567739266e-16,-190.1986357466439
sufficient_4990m,4.0,R0_NOISELESS,7,-2.386874105950058,,1.0750188549579143e-16,-190.50855401555293
sufficient_4990m,4.0,R0_NOISELESS,7,-2.380738182798515,,1.0375958835771766e-16,-190.81631084305255
sufficient_4990m,4.0,R0_NOISELESS,7,-2.3746022596469727,,1.0017223446275979e-16,-191.12192841846576
sufficient_4990m,4.0,R0_NOISELESS,7,-2.36846633649543,,9.673248727848201e-17,-191.42542854711095
sufficient_4990m,4.0,R0_NOISELESS,7,-2.362330413343887,,9.343339922456706e-17,-191.72683265908364
sufficient_4990m,4.0,R0_NOISELESS,7,-2.356194490192345,,9.02683889185651e-17,-192.02616181778527
sufficient_4990m,4.0,R0_NOISELESS,7,-2.3500585670408025,,8.723121987468552e-17,-192.3234367282106
sufficient_4990m,4.0,R0_NOISELESS,7,-2.3439226438892597,,8.431598055524787e-17,-192.61867774499746
sufficient_4990m,4.0,R0_NOISELESS,7,-2.337786720737717,,8.151706568178972e-17,-192.91190488024992
sufficient_4990m,4.0,R0_NOISELESS,7,-2.3316507975861747,,7.882915871972447e-17,-193.2031378111427
sufficient_4990m,4.0,R0_NOISELESS,7,-2.325514874434632,,7.624721545681017e-17,-193.4923958873116
sufficient_4990m,4.0,R0_NOISELESS,7,-2.3193789512830896,,7.376644860144553e-17,-193.77969813803932
sufficient_4990m,4.0,R0_NOISELESS,7,-2.313243028131547,,7.138231333222955e-17,-194.06506327924518
sufficient_4990m,4.0,R0_NOISELESS,7,-2.3071071049800045,,6.909049373520616e-17,-194.34850972027897
sufficient_4990m,4.0,R0_NOISELESS,7,-2.3009711818284617,,6.688689006969902e-17,-194.63005557053305
sufficient_4990m,4.0,R0_NOISELESS,7,-2.294835258676919,,6.476760680795644e-17,-194.90971864587385
sufficient_4990m,4.0,R0_NOISELESS,7,-2.2886993355253766,,6.272894139768422e-17,-195.1875164748991
sufficient_4990m,4.0,R0_NOISELESS,7,-2.2825634123738343,,6.076737370013251e-17,-195.4634663050284
sufficient_4990m,4.0,R0_NOISELESS,7,-2.2764274892222915,,5.887955605977179e-17,-195.73758510843095
sufficient_4990m,4.0,R0_NOISELESS,7,-2.270291566070749,,5.706230396464462e-17,-196.0098895877954
sufficient_4990m,4.0,R0_NOISELESS,7,-2.2641556429192065,,5.531258725933146e-17,-196.28039618194896
sufficient_4990m,4.0,R0_NOISELESS,7,-2.2580197197676637,,5.362752187512699e-17,-196.5491210713272
sufficient_4990m,4.0,R0_NOISELESS,7,-2.2518837966161214,,5.2004362044436406e-17,-196.8160801833022
sufficient_4990m,4.0,R0_NOISELESS,7,-2.2457478734645786,,5.044049296867326e-17,-197.08128919737328
sufficient_4990m,4.0,R0_NOISELESS,7,-2.2396119503130363,,4.8933423911063944e-17,-197.34476355022082
sufficient_4990m,4.0,R0_NOISELESS,7,-2.2334760271614935,,4.748078168764529e-17,-197.60651844063392
sufficient_4990m,4.0,R0_NOISELESS,7,-2.2273401040099507,,4.6080304531611454e-17,-197.8665688343095
sufficient_4990m,4.0,R0_NOISELESS,7,-2.2212041808584084,,4.4729836307792073e-17,-198.12492946853027
sufficient_4990m,4.0,R0_NOISELESS,7,-2.215068257706866,,4.3427321055609024e-17,-198.381614856725
sufficient_4990m,4.0,R0_NOISELESS,7,-2.2089323345553233,,4.217079784030762e-17,-198.63663929291357
sufficient_4990m,4.0,R0_NOISELESS,7,-2.2027964114037806,,4.0958395893586446e-17,-198.89001685604043
sufficient_4990m,4.0,R0_NOISELESS,7,-2.1966604882522383,,3.978833002598945e-17,-199.1417614142014
sufficient_4990m,4.0,R0_NOISELESS,7,-2.1905245651006955,,3.865889629459845e-17,-199.3918866287645
sufficient_4990m,4.0,R0_NOISELESS,7,-2.184388641949153,,3.7568467910616656e-17,-199.64040595838983
sufficient_4990m,4.0,R0_NOISELESS,7,-2.1782527187976104,,3.651549137244289e-17,-199.88733266295162
sufficient_4990m,4.0,R0_NOISELESS,7,-2.172116795646068,,3.5498482810779814e-17,-200.13267980736293
sufficient_4990m,4.0,R0_NOISELESS,7,-2.1659808724945253,,3.4516024533153274e-17,-200.37646026530916
sufficient_4990m,4.0,R0_NOISELESS,7,-2.1598449493429825,,3.356676175606108e-17,-200.6186867228907
sufficient_4990m,4.0,R0_NOISELESS,7,-2.1537090261914402,,3.26493995136994e-17,-200.85937168217782
sufficient_4990m,4.0,R0_NOISELESS,7,-2.147573103039898,,3.176269973291819e-17,-201.09852746468118
sufficient_4990m,4.0,R0_NOISELESS,7,-2.141437179888355,,3.0905478464716336e-17,-201.33616621473936
sufficient_4990m,4.0,R0_NOISELESS,7,-2.1353012567368124,,3.007660326319157e-17,-201.57229990282602
sufficient_4990m,4.0,R0_NOISELESS,7,-2.12916533358527,,2.9274990703422247e-17,-201.80694032877977
sufficient_4990m,4.0,R0_NOISELESS,7,-2.1230294104337273,,2.8499604030301556e-17,-202.0400991249576
sufficient_4990m,4.0,R0_NOISELESS,7,-2.1168934872821845,,2.774945093082443e-17,-202.2717877593149
sufficient_4990m,4.0,R0_NOISELESS,7,-2.110757564130642,,2.7023581422797197e-17,-202.50201753841438
sufficient_4990m,4.0,R0_NOISELESS,7,-2.1046216409791,,2.63210858533723e-17,-202.73079961036484
sufficient_4990m,4.0,R0_NOISELESS,7,-2.098485717827557,,2.5641093001207022e-17,-202.95814496769265
sufficient_4990m,4.0,R0_NOISELESS,7,-2.0923497946760143,,2.498276827642785e-17,-203.18406445014728
sufficient_4990m,4.0,R0_NOISELESS,7,-2.086213871524472,,2.4345312012931405e-17,-203.40856874744287
sufficient_4990m,4.0,R0_NOISELESS,7,-2.0800779483729297,,2.37279578478807e-17,-203.63166840193793
sufficient_4990m,4.0,R0_NOISELESS,7,-2.073942025221387,,2.312997118356813e-17,-203.85337381125407
sufficient_4990m,4.0,R0_NOISELESS,7,-2.067806102069844,,2.255064772710149e-17,-204.07369523083602
sufficient_4990m,4.0,R0_NOISELESS,7,-2.061670178918302,,2.198931210363755e-17,-204.2926427764545
sufficient_4990m,4.0,R0_NOISELESS,7,-2.055534255766759,,2.1445316539146923e-17,-204.5102264266531
sufficient_4990m,4.0,R0_NOISELESS,7,-2.0493983326152163,,2.0918039608923348e-17,-204.72645602514075
sufficient_4990m,4.0,R0_NOISELESS,7,-2.043262409463674,,2.0406885048276403e-17,-204.94134128313195
sufficient_4990m,4.0,R0_NOISELESS,7,-2.0371264863121317,,1.9911280622054776e-17,-205.15489178163503
sufficient_4990m,4.0,R0_NOISELESS,7,-2.030990563160589,,1.9430677049839847e-17,-205.36711697369037
sufficient_4990m,4.0,R0_NOISELESS,7,-2.024854640009046,,1.8964546983833875e-17,-205.57802618656
sufficient_4990m,4.0,R0_NOISELESS,7,-2.018718716857504,,1.8512384036637972e-17,-205.78762862386975
sufficient_4990m,4.0,R0_NOISELESS,7,-2.0125827937059615,,1.807370185627526e-17,-205.99593336770482
sufficient_4990m,4.0,R0_NOISELESS,7,-2.0064468705544187,,1.7648033245966958e-17,-206.20294938066078
sufficient_4990m,4.0,R0_NOISELESS,7,-2.000310947402876,,1.7234929326310678e-17,-206.40868550784995
sufficient_4990m,4.0,R0_NOISELESS,7,-1.9941750242513334,,1.6833958737640654e-17,-206.61315047886586
sufficient_4990m,4.0,R0_NOISELESS,7,-1.9880391010997909,,1.644470688047983e-17,-206.81635290970516
sufficient_4990m,4.0,R0_NOISELESS,7,-1.9819031779482483,,1.6066775192105863e-17,-207.0183013046494
sufficient_4990m,4.0,R0_NOISELESS,7,-1.9757672547967058,,1.569978045736682e-17,-207.21900405810717
sufficient_4990m,4.0,R0_NOISELESS,7,-1.9696313316451632,,1.53433541519858e-17,-207.4184694564174
sufficient_4990m,4.0,R0_NOISELESS,7,-1.9634954084936207,,1.499714181668985e-17,-207.61670567961517
sufficient_4990m,4.0,R0_NOISELESS,7,-1.9573594853420782,,1.4660802460591927e-17,-207.81372080316078
sufficient_4990m,4.0,R0_NOISELESS,7,-1.9512235621905356,,1.4334007992340604e-17,-208.00952279963298
sufficient_4990m,4.0,R0_NOISELESS,7,-1.945087639038993,,1.4016442677632707e-17,-208.2041195403873
sufficient_4990m,4.0,R0_NOISELESS,7,-1.9389517158874505,,1.3707802621762098e-17,-208.39751879718045
sufficient_4990m,4.0,R0_NOISELESS,7,-1.932815792735908,,1.3407795275949005e-17,-208.58972824376127
sufficient_4990m,4.0,R0_NOISELESS,7,-1.9266798695843652,,1.3116138966261578e-17,-208.78075545742945
sufficient_4990m,4.0,R0_NOISELESS,7,-1.9205439464328227,,1.2832562444007104e-17,-208.9706079205626
sufficient_4990m,4.0,R0_NOISELESS,7,-1.9144080232812801,,1.255680445652879e-17,-209.15929302211228
sufficient_4990m,4.0,R0_NOISELESS,7,-1.9082721001297376,,1.228861333740148e-17,-209.34681805907036
sufficient_4990m,4.0,R0_NOISELESS,7,-1.902136176978195,,1.2027746615073827e-17,-209.53319023790542
sufficient_4990m,4.0,R0_NOISELESS,7,-1.8960002538266525,,1.1773970639053854e-17,-209.7184166759709
sufficient_4990m,4.0,R0_NOISELESS,7,-1.88986433067511,,1.1527060222783235e-17,-209.90250440288514
sufficient_4990m,4.0,R0_NOISELESS,7,-1.8837284075235674,,1.128679830239029e-17,-210.08546036188386
sufficient_4990m,4.0,R0_NOISELESS,7,-1.8775924843720249,,1.105297561055403e-17,-210.26729141114626
sufficient_4990m,4.0,R0_NOISELESS,7,-1.8714565612204823,,1.0825390364751675e-17,-210.44800432509498
sufficient_4990m,4.0,R0_NOISELESS,7,-1.8653206380689396,,1.0603847969200293e-17,-210.62760579567026
sufficient_4990m,4.0,R0_NOISELESS,7,-1.859184714917397,,1.0388160729837649e-17,-210.80610243358
sufficient_4990m,4.0,R0_NOISELESS,7,-1.8530487917658545,,1.0178147581722953e-17,-210.98350076952454
sufficient_4990m,4.0,R0_NOISELESS,7,-1.846912868614312,,9.973633828267972e-18,-211.15980725539842
sufficient_4990m,4.0,R0_NOISELESS,7,-1.8407769454627694,,9.774450891740639e-18,-211.33502826546905
sufficient_4990m,4.0,R0_NOISELESS,7,-1.8346410223112268,,9.580436074511122e-18,-211.509170097532
sufficient_4990m,4.0,R0_NOISELESS,7,-1.8285050991596843,,9.391432330537055e-18,-211.68223897404505
sufficient_4990m,4.0,R0_NOISELESS,7,-1.8223691760081417,,9.20728804661032e-18,-211.85424104323985
sufficient_4990m,4.0,R0_NOISELESS,7,-1.8162332528565992,,9.027856832911888e-18,-212.025182380213
sufficient_4990m,4.0,R0_NOISELESS,7,-1.8100973297050567,,8.852997322443574e-18,-212.19506898799614
sufficient_4990m,4.0,R0_NOISELESS,7,-1.8039614065535141,,8.682572978927479e-18,-212.36390679860608
sufficient_4990m,4.0,R0_NOISELESS,7,-1.7978254834019713,,8.516451912784351e-18,-212.53170167407507
sufficient_4990m,4.0,R0_NOISELESS,7,-1.7916895602504288,,8.35450670482067e-18,-212.6984594074617
sufficient_4990m,4.0,R0_NOISELESS,7,-1.7855536370988863,,8.196614237273595e-18,-212.86418572384315
sufficient_4990m,4.0,R0_NOISELESS,7,-1.7794177139473437,,8.042655531879185e-18,-213.02888628128855
sufficient_4990m,4.0,R0_NOISELESS,7,-1.7732817907958012,,7.89251559464629e-18,-213.19256667181517
sufficient_4990m,4.0,R0_NOISELESS,7,-1.7671458676442586,,7.746083267034046e-18,-213.3552324223258
sufficient_4990m,4.0,R0_NOISELESS,7,-1.761009944492716,,7.60325108324511e-18,-213.51688899552983
sufficient_4990m,4.0,R0_NOISELESS,7,-1.7548740213411735,,7.463915133361334e-18,-213.67754179084702
sufficient_4990m,4.0,R0_NOISELESS,7,-1.748738098189631,,7.327974932061383e-18,-213.83719614529468
sufficient_4990m,4.0,R0_NOISELESS,7,-1.7426021750380885,,7.19533329267235e-18,-213.9958573343589
sufficient_4990m,4.0,R0_NOISELESS,7,-1.736466251886546,,7.065896206319611e-18,-214.15353057285006
sufficient_4990m,4.0,R0_NOISELESS,7,-1.7303303287350031,,6.939572725950113e-18,-214.31022101574231
sufficient_4990m,4.0,R0_NOISELESS,7,-1.7241944055834606,,6.8162748550150165e-18,-214.46593375899874
sufficient_4990m,4.0,R0_NOISELESS,7,-1.718058482431918,,6.695917440608127e-18,-214.62067384038093
sufficient_4990m,4.0,R0_NOISELESS,7,-1.7119225592803755,,6.5784180708654975e-18,-214.77444624024457
sufficient_4990m,4.0,R0_NOISELESS,7,-1.705786636128833,,6.463696976441467e-18,-214.9272558823206
sufficient_4990m,4.0,R0_NOISELESS,7,-1.6996507129772904,,6.351676935884602e-18,-215.07910763448248
sufficient_4990m,4.0,R0_NOISELESS,7,-1.6935147898257479,,6.242283184745401e-18,-215.23000630950003
sufficient_4990m,4.0,R0_NOISELESS,7,-1.6873788666742053,,6.135443328255462e-18,-215.3799566657795
sufficient_4990m,4.0,R0_NOISELESS,7,-1.6812429435226628,,6.03108725742524e-18,-215.52896340809139
sufficient_4990m,4.0,R0_NOISELESS,7,-1.6751070203711202,,5.929147068414602e-18,-215.67703118828456
sufficient_4990m,4.0,R0_NOISELESS,7,-1.6689710972195777,,5.829556985037045e-18,-215.82416460598847
sufficient_4990m,4.0,R0_NOISELESS,7,-1.662835174068035,,5.732253284264948e-18,-215.9703682093031
sufficient_4990m,4.0,R0_NOISELESS,7,-1.6566992509164924,,5.637174224609169e-18,-216.11564649547654
sufficient_4990m,4.0,R0_NOISELESS,7,-1.6505633277649499,,5.5442599772522145e-18,-216.2600039115712
sufficient_4990m,4.0,R0_NOISELESS,7,-1.6444274046134073,,5.453452559819492e-18,-216.4034448551182
sufficient_4990m,4.0,R0_NOISELESS,7,-1.6382914814618648,,5.364695772678609e-18,-216.54597367476083
